Symbol,Name,Asset Type,Total Score (%),Current Ratio (Value),Current Ratio (Strength %),Short Ratio (Value),Short Ratio (Strength %),Debt to Equity (Value),Debt to Equity (Strength %),Dividend Yield (Value),Dividend Yield (Strength %),EBITDA Margin (Value),EBITDA Margin (Strength %),EV/EBITDA (Value),EV/EBITDA (Strength %),Forward P/E Ratio (Value),Forward P/E Ratio (Strength %),Insider Ownership (Value),Insider Ownership (Strength %),Institutional Ownership (Value),Institutional Ownership (Strength %),Trailing P/E Ratio (Value),Trailing P/E Ratio (Strength %),PEG Ratio (Value),PEG Ratio (Strength %),Price to Book (Value),Price to Book (Strength %),Profit Margin (Value),Profit Margin (Strength %),Analyst Recommendation (Value),Analyst Recommendation (Strength %),Return on Equity (Value),Return on Equity (Strength %),Revenue Growth (Value),Revenue Growth (Strength %),Short % of Float (Value),Short % of Float (Strength %)
ADP,"Automatic Data Processing, Inc.",STOCK,68.23,1.03x,14,3.69x,72,70.04x,95,3.45%,75,29.17%,60,13.16x,96,16.49x,97,0.16%,33,86.36%,97,18.93x,98,2.51x,1,12.43x,93,19.96%,80,Hold (2.78),37,73.84%,100,6.20%,59,3.89%,89
ADSK,"Autodesk, Inc.",STOCK,77.11,0.85x,6,2.49x,89,89.79x,80,N/A,N/A,26.45%,44,26.09x,75,16.66x,97,0.26%,34,95.96%,99,44.85x,40,0.93x,93,16.36x,90,15.60%,62,Strong Buy (1.42),89,39.67%,100,19.40%,99,2.45%,94
AEE,Ameren Corporation,STOCK,52.91,0.66x,3,5.69x,30,147.12x,84,2.68%,55,43.91%,98,13.70x,68,19.31x,80,0.31%,34,85.45%,97,20.92x,88,2.83x,0,2.31x,73,17.19%,69,Buy (2.00),73,11.34%,39,-8.80%,2,3.68%,90
AEP,"American Electric Power Company, Inc.",STOCK,63.43,0.46x,1,5.52x,33,154.24x,79,2.81%,59,40.94%,96,13.78x,67,19.64x,79,0.02%,33,84.54%,97,20.28x,89,2.83x,0,2.35x,72,16.36%,65,Buy (2.00),73,12.49%,50,13.20%,92,3.34%,91
AES,The AES Corporation,STOCK,60.96,0.77x,4,1.78x,94,259.39x,14,4.86%,94,28.41%,38,13.69x,68,6.07x,99,0.53%,35,87.58%,98,11.06x,97,0.81x,98,2.54x,66,7.44%,30,Hold (2.82),35,1.95%,2,4.70%,48,3.36%,91
AFL,Aflac Incorporated,STOCK,60.15,1.07x,17,3.45x,76,42.68x,99,2.13%,39,27.90%,91,13.40x,83,14.90x,91,10.85%,92,59.34%,71,16.82x,11,1.18x,73,2.02x,63,21.24%,85,Hold (3.07),25,13.12%,86,-9.90%,1,2.03%,95
AIG,"American International Group, Inc.",STOCK,60.72,0.62x,2,1.97x,93,24.41x,91,2.43%,48,29.76%,95,4.73x,99,8.39x,98,0.59%,35,99.38%,99,13.65x,56,1.22x,69,0.97x,95,11.63%,47,Buy (2.36),57,7.40%,18,-7.20%,3,1.59%,96
AIZ,"Assurant, Inc.",STOCK,61.22,0.41x,1,2.59x,88,38.84x,98,1.44%,22,11.52%,8,7.88x,98,10.53x,96,0.76%,36,97.25%,99,13.75x,55,2.16x,5,1.97x,66,6.81%,27,N/A,N/A,15.90%,97,7.90%,70,2.26%,94
AJG,Arthur J. Gallagher & Co.,STOCK,62.80,1.06x,16,3.03x,83,58.35x,99,1.30%,20,26.74%,88,19.41x,32,14.50x,92,0.88%,37,93.47%,99,37.47x,0,0.93x,93,2.37x,43,11.48%,46,Buy (1.91),76,6.91%,14,36.70%,100,2.53%,94
AKAM,"Akamai Technologies, Inc.",STOCK,70.24,2.36x,99,2.94x,84,114.02x,57,N/A,N/A,28.06%,53,15.57x,95,12.62x,99,2.08%,43,99.97%,99,31.25x,87,1.09x,81,2.79x,98,10.74%,43,Buy (2.12),68,9.17%,21,7.40%,67,13.37%,10
ALB,Albemarle Corporation,STOCK,55.26,2.23x,98,0.02x,99,33.95x,96,0.81%,4,14.35%,13,37.55x,0,21.64x,71,0.22%,34,94.35%,99,N/A,N/A,1.47x,44,3.22x,42,-9.93%,0,Buy (2.17),66,-4.66%,0,15.90%,96,0.04%,98
ALGN,"Align Technology, Inc.",STOCK,63.10,1.36x,45,3.39x,77,2.83x,73,N/A,N/A,21.10%,80,14.31x,83,14.99x,91,6.82%,72,97.16%,99,32.69x,9,1.00x,88,3.26x,41,10.17%,41,Buy (1.94),75,10.39%,30,5.30%,52,6.08%,75
ALL,The Allstate Corporation,STOCK,76.31,0.37x,1,0.01x,99,25.09x,92,2.02%,36,18.46%,39,4.78x,99,8.30x,98,0.55%,35,83.19%,96,5.63x,100,0.46x,92,1.95x,67,15.19%,61,Buy (2.12),68,39.52%,100,5.10%,51,0.01%,98
ALLE,Allegion plc,STOCK,68.02,1.84x,90,3.58x,74,104.00x,67,1.43%,22,24.74%,80,14.49x,77,15.57x,90,1.16%,38,98.29%,99,19.97x,89,2.25x,4,6.18x,1,15.83%,63,Buy (2.38),56,36.08%,100,9.30%,78,3.57%,90
ALNY,"Alnylam Pharmaceuticals, Inc.",STOCK,60.11,2.76x,100,4.37x,59,376.19x,0,N/A,N/A,15.00%,27,73.53x,0,21.87x,70,0.19%,33,100.95%,99,131.84x,0,0.61x,99,51.75x,0,8.45%,34,Buy (1.79),80,73.28%,100,84.90%,100,5.03%,83
AMAT,"Applied Materials, Inc.",STOCK,63.23,2.71x,100,2.15x,91,33.11x,96,0.52%,9,31.51%,72,36.00x,36,28.77x,77,0.32%,34,85.44%,97,41.48x,54,1.99x,10,14.79x,92,27.78%,100,Buy (1.53),87,38.86%,100,-2.10%,11,1.72%,96
AMCR,Amcor plc,STOCK,64.93,1.30x,38,5.36x,37,138.73x,34,6.66%,99,14.51%,17,11.65x,91,8.95x,97,0.29%,34,70.24%,88,29.36x,63,0.47x,93,1.55x,89,3.04%,12,Buy (1.75),81,7.73%,13,68.10%,100,8.44%,51
AMD,"Advanced Micro Devices, Inc.",STOCK,61.18,2.85x,100,1.08x,97,6.36x,77,N/A,N/A,19.47%,13,79.92x,0,30.40x,71,0.43%,35,72.11%,90,128.21x,0,1.03x,86,8.66x,96,12.52%,50,Buy (1.57),86,7.08%,11,34.10%,100,2.20%,95
AME,"AMETEK, Inc.",STOCK,55.53,1.06x,16,2.71x,86,24.19x,91,0.58%,9,31.87%,97,23.52x,9,26.72x,46,0.43%,35,92.07%,98,36.34x,34,2.92x,0,5.02x,5,20.00%,80,Buy (1.75),81,14.59%,69,13.40%,92,1.60%,96
AMGN,Amgen Inc.,STOCK,61.07,1.14x,22,4.66x,52,640.27x,0,2.96%,63,45.21%,100,13.82x,87,14.56x,92,0.22%,34,85.24%,97,23.92x,58,2.27x,3,21.17x,0,20.98%,84,Hold (2.51),49,106.10%,100,8.60%,74,2.37%,94
AMP,"Ameriprise Financial, Inc.",STOCK,68.78,9.05x,100,3.65x,73,52.78x,100,1.42%,22,0.00%,0,N/A,N/A,10.16x,97,0.17%,33,91.05%,98,11.90x,82,1.57x,35,6.66x,0,20.17%,81,Buy (2.43),53,66.94%,100,9.00%,76,3.92%,89
AMT,American Tower Corporation,STOCK,61.10,0.40x,1,2.00x,92,434.21x,0,3.93%,84,64.89%,100,19.09x,35,25.26x,54,0.09%,33,96.00%,99,32.46x,0,1.97x,90,22.38x,0,23.76%,95,Buy (1.76),81,26.28%,100,7.50%,68,1.69%,96
AMZN,"Amazon.com, Inc.",STOCK,59.25,1.05x,15,2.02x,92,43.44x,99,N/A,N/A,20.33%,52,19.62x,30,27.61x,42,8.94%,83,67.04%,84,36.37x,34,1.91x,13,6.82x,0,10.83%,43,Strong Buy (1.36),90,22.29%,98,13.60%,93,0.95%,97
ANET,"Arista Networks, Inc.",STOCK,64.95,3.05x,100,2.56x,88,0.73x,71,N/A,N/A,43.62%,98,52.45x,3,40.06x,27,17.26%,97,70.77%,88,62.95x,3,2.46x,1,17.52x,89,38.99%,100,Strong Buy (1.40),90,31.40%,100,28.90%,100,1.66%,96
AON,Aon plc,STOCK,55.21,1.11x,19,1.81x,93,168.32x,14,1.01%,15,32.97%,98,14.66x,75,15.14x,91,2.84%,48,88.71%,98,19.01x,2,2.55x,1,7.43x,0,21.51%,86,Buy (2.00),73,46.94%,100,3.70%,41,1.14%,97
AOS,A. O. Smith Corporation,STOCK,64.55,1.50x,62,4.21x,62,10.97x,81,2.20%,41,21.23%,59,11.01x,93,14.96x,91,0.45%,35,92.90%,99,16.80x,93,1.35x,56,4.82x,6,14.26%,57,Buy (2.50),50,29.20%,100,0.00%,19,6.32%,73
APA,APA Corporation,STOCK,65.49,0.82x,6,2.42x,89,68.69x,95,2.60%,53,59.25%,100,3.65x,98,9.55x,74,0.44%,35,99.61%,99,9.63x,90,1.06x,84,2.23x,76,16.51%,66,Hold (2.86),33,25.32%,99,-28.00%,0,9.36%,40
APD,"Air Products and Chemicals, Inc.",STOCK,41.42,1.46x,57,2.84x,85,101.99x,69,2.39%,29,6.96%,3,102.28x,0,21.40x,72,1.89%,42,93.51%,99,N/A,N/A,6.41x,0,4.37x,12,-2.73%,0,Buy (1.96),74,-1.67%,0,5.80%,56,1.67%,96
APH,Amphenol Corporation,STOCK,73.15,2.98x,100,1.58x,95,118.94x,52,0.67%,10,30.18%,65,26.89x,72,28.62x,78,0.47%,35,98.02%,99,44.50x,42,1.67x,27,13.59x,93,18.49%,74,Buy (1.67),84,36.85%,100,49.10%,100,1.27%,96
APO,"Apollo Global Management, Inc.",STOCK,65.40,1.66x,78,5.80x,28,99.47x,71,1.65%,27,0.00%,0,N/A,N/A,11.61x,95,26.99%,49,67.95%,85,22.26x,0,0.65x,100,3.25x,9,10.98%,44,Buy (1.80),80,14.70%,94,87.70%,100,5.80%,77
APP,AppLovin Corporation,STOCK,69.28,3.32x,100,2.81x,85,171.80x,13,N/A,N/A,78.00%,100,36.59x,0,22.63x,67,18.40%,94,81.30%,96,45.89x,10,1.26x,65,72.95x,0,60.83%,100,Strong Buy (1.47),88,212.94%,100,65.90%,100,4.26%,87
APTV,Aptiv PLC,STOCK,61.15,1.74x,84,2.73x,86,85.21x,84,N/A,N/A,15.64%,22,6.05x,99,8.97x,97,0.63%,36,102.57%,99,80.09x,0,0.94x,92,1.39x,91,0.81%,3,Buy (1.55),87,1.95%,2,5.00%,50,4.86%,84
ARE,"Alexandria Real Estate Equities, Inc.",STOCK,57.99,1.62x,74,3.06x,82,66.61x,96,8.96%,100,64.29%,100,12.27x,89,-569.50x,100,1.42%,40,98.00%,99,N/A,N/A,N/A,N/A,0.50x,99,-47.38%,0,Hold (2.69),41,-5.86%,0,-5.20%,5,5.94%,76
ARES,Ares Management Corporation,STOCK,58.62,0.47x,1,3.41x,77,163.45x,17,4.81%,94,22.16%,65,35.32x,0,15.12x,91,11.37%,94,88.63%,98,65.60x,0,0.93x,93,8.84x,0,9.41%,38,Buy (1.94),75,13.52%,89,19.50%,99,13.21%,11
ARM,Arm Holdings plc,STOCK,45.38,5.43x,100,1.90x,93,5.91x,76,N/A,N/A,23.20%,27,208.69x,0,100.69x,0,0.05%,33,95.00%,99,284.05x,0,2.83x,0,29.40x,66,17.15%,69,Buy (1.90),77,11.27%,38,26.30%,100,11.46%,21
ASML,ASML Holding N.V.,STOCK,58.73,1.36x,45,0.41x,98,12.99x,83,0.61%,10,37.71%,92,43.01x,15,30.06x,72,0.01%,33,18.66%,4,47.17x,31,2.25x,4,1249.55x,0,29.71%,100,Strong Buy (1.45),89,52.24%,100,13.20%,92,0.19%,98
ATO,Atmos Energy Corporation,STOCK,60.83,1.13x,21,3.93x,68,67.44x,92,2.15%,40,49.12%,100,16.71x,27,20.94x,74,0.40%,34,99.73%,99,24.20x,80,2.21x,4,2.15x,78,25.67%,100,Hold (2.79),36,9.24%,22,14.20%,94,2.64%,93
AVB,"AvalonBay Communities, Inc.",STOCK,46.83,0.41x,1,4.47x,56,80.26x,88,4.09%,87,60.73%,100,18.36x,42,35.24x,13,0.42%,35,101.15%,99,23.52x,9,N/A,N/A,2.10x,43,34.57%,100,Hold (2.52),49,8.89%,19,3.70%,41,4.59%,85
AVGO,Broadcom Inc.,STOCK,76.22,1.90x,92,2.11x,92,82.70x,86,0.62%,10,54.51%,100,54.59x,2,23.08x,91,1.97%,43,79.46%,95,81.36x,0,0.92x,93,24.80x,77,36.57%,100,Strong Buy (1.28),92,33.37%,100,29.50%,100,1.18%,96
AVY,Avery Dennison Corporation,STOCK,59.45,1.13x,21,3.15x,81,176.34x,11,2.28%,44,16.02%,24,11.55x,91,14.63x,92,0.64%,36,98.44%,99,18.77x,91,1.92x,13,5.66x,2,7.77%,31,Buy (1.55),87,30.21%,100,3.90%,42,2.94%,93
AWK,"American Water Works Company, Inc.",STOCK,54.98,0.46x,1,5.15x,41,146.99x,84,2.51%,50,54.26%,100,14.89x,52,20.07x,78,0.23%,34,98.49%,99,23.19x,83,2.39x,2,2.38x,71,21.62%,86,Hold (2.77),37,10.50%,31,5.80%,56,6.60%,70
AXON,"Axon Enterprise, Inc.",STOCK,45.10,2.53x,100,2.82x,85,59.11x,99,N/A,N/A,1.93%,0,608.32x,0,38.09x,7,4.34%,57,85.28%,97,266.62x,0,1.64x,29,9.96x,0,4.49%,18,Buy (1.60),85,4.48%,4,38.50%,100,4.52%,86
AXP,American Express Company,STOCK,58.05,1.57x,70,3.50x,76,177.85x,10,1.19%,18,0.00%,0,N/A,N/A,15.86x,89,22.34%,76,65.25%,82,19.92x,1,1.54x,38,6.53x,0,16.30%,65,Buy (2.35),57,34.42%,100,11.60%,87,2.09%,95
AZO,"AutoZone, Inc.",STOCK,63.27,0.89x,8,2.40x,89,N/A,N/A,N/A,N/A,21.37%,60,17.00x,55,20.36x,77,0.25%,34,94.45%,99,24.95x,78,1.95x,11,-20.23x,100,12.47%,50,Buy (1.58),86,N/A,N/A,8.20%,72,2.34%,94
BA,The Boeing Company,STOCK,47.00,1.18x,25,0.24x,98,828.70x,0,N/A,N/A,-3.54%,0,-64.99x,100,53.31x,0,0.05%,33,73.68%,91,91.80x,0,4.61x,0,30.47x,0,2.46%,10,Buy (1.59),86,169.95%,100,14.00%,93,0.20%,98
BAC,Bank of America Corporation,STOCK,80.42,N/A,N/A,0.00x,99,N/A,N/A,2.13%,39,0.00%,0,N/A,N/A,10.45x,96,7.38%,75,71.58%,89,13.09x,66,0.94x,92,1.36x,89,28.96%,100,Strong Buy (1.48),88,10.64%,59,11.80%,88,0.00%,98
BALL,Ball Corporation,STOCK,70.88,1.11x,20,2.83x,85,136.03x,36,1.31%,20,15.29%,20,11.14x,92,13.59x,93,0.26%,34,89.58%,98,18.51x,91,1.31x,60,2.99x,50,6.93%,28,Buy (1.67),84,16.12%,81,16.20%,96,2.74%,93
BAX,Baxter International Inc.,STOCK,50.53,2.31x,99,4.62x,53,160.28x,18,1.95%,34,17.95%,54,8.57x,99,9.13x,97,0.32%,34,109.34%,100,N/A,N/A,36.68x,0,1.55x,89,-8.51%,0,Hold (2.67),42,-13.71%,0,8.00%,71,11.48%,21
BBY,"Best Buy Co., Inc.",STOCK,58.84,1.11x,19,4.37x,59,139.47x,33,6.48%,99,6.24%,2,5.62x,99,8.44x,98,7.57%,76,99.87%,99,11.76x,97,1.16x,75,4.18x,15,2.56%,10,Hold (2.54),48,37.04%,100,-1.00%,15,11.46%,21
BDX,"Becton, Dickinson and Company",STOCK,61.79,1.05x,15,3.06x,82,77.28x,90,2.80%,59,27.56%,98,10.19x,98,11.12x,96,0.40%,34,96.41%,99,24.55x,53,1.18x,73,1.69x,87,8.01%,32,Buy (2.40),55,6.96%,10,1.60%,27,2.87%,93
BEN,"Franklin Resources, Inc.",STOCK,52.63,5.56x,100,4.95x,45,24.59x,91,4.79%,94,19.25%,44,10.27x,94,9.67x,97,48.40%,0,48.85%,47,25.53x,0,0.37x,86,1.18x,93,6.97%,28,Hold (3.00),27,4.46%,4,3.40%,38,6.18%,74
BF-B,Brown-Forman Corporation,STOCK,61.93,2.77x,100,4.55x,55,67.25x,96,3.32%,72,30.92%,100,12.42x,76,16.23x,89,2.94%,48,76.66%,93,16.04x,91,4.60x,0,3.10x,46,20.64%,83,Hold (2.88),32,20.42%,96,2.00%,29,12.54%,14
BG,Bunge Global SA,STOCK,57.61,1.61x,74,3.12x,81,91.01x,79,2.26%,43,2.98%,0,18.80x,3,11.97x,95,18.20%,95,76.71%,93,25.21x,4,1.37x,54,1.51x,90,1.16%,5,Buy (1.56),86,5.96%,7,75.50%,100,4.13%,88
BIIB,Biogen Inc.,STOCK,60.41,2.68x,100,3.47x,76,36.47x,97,N/A,N/A,36.44%,100,8.15x,99,11.34x,96,0.17%,33,98.30%,99,20.53x,79,3.94x,0,1.45x,91,13.07%,52,Buy (2.03),72,7.39%,12,-7.10%,3,3.89%,89
BK,The Bank of New York Mellon Corporation,STOCK,66.05,N/A,N/A,0.00x,99,N/A,N/A,1.58%,25,0.00%,0,N/A,N/A,13.98x,93,0.24%,34,88.25%,98,16.70x,12,1.49x,42,2.34x,45,28.87%,100,Buy (2.12),68,13.47%,89,13.40%,92,0.00%,98
BKNG,Booking Holdings Inc.,STOCK,82.81,1.33x,42,3.52x,75,N/A,N/A,0.89%,13,37.56%,99,14.12x,79,14.34x,92,0.19%,33,97.98%,99,26.82x,72,0.74x,100,-25.37x,100,20.08%,80,Buy (1.53),87,N/A,N/A,16.00%,96,3.46%,91
BKR,Baker Hughes Company,STOCK,42.54,2.13x,97,2.50x,88,82.94x,86,1.35%,21,17.28%,31,14.15x,1,24.60x,0,0.15%,33,102.14%,99,21.85x,2,3.73x,0,3.51x,32,11.17%,45,Buy (1.73),82,17.18%,86,2.50%,32,2.66%,93
BLDR,"Builders FirstSource, Inc.",STOCK,51.37,1.86x,90,3.52x,75,117.19x,53,N/A,N/A,9.07%,4,10.79x,93,12.35x,95,2.58%,46,97.39%,99,23.11x,83,2.02x,9,2.28x,74,2.86%,11,Buy (2.19),65,10.06%,28,-12.10%,1,8.03%,55
BLK,"BlackRock, Inc.",STOCK,70.82,N/A,N/A,2.21x,91,24.37x,91,2.17%,40,39.95%,100,16.66x,58,17.42x,86,1.95%,43,82.48%,96,26.59x,0,1.33x,58,2.93x,17,24.40%,98,Buy (1.59),86,N/A,N/A,27.00%,100,1.26%,96
BMY,Bristol-Myers Squibb Company,STOCK,60.76,1.25x,33,2.50x,88,254.98x,0,4.36%,90,39.67%,100,8.07x,99,9.42x,97,0.09%,33,83.05%,96,16.70x,92,23.37x,0,6.37x,1,14.64%,59,Hold (2.52),49,40.44%,100,1.30%,25,1.59%,96
BR,"Broadridge Financial Solutions, Inc.",STOCK,76.36,0.97x,11,1.83x,93,117.17x,53,2.49%,50,24.24%,32,12.21x,97,15.12x,98,0.50%,35,94.94%,99,17.30x,99,1.08x,82,6.34x,97,14.86%,59,Buy (2.22),63,41.79%,100,7.80%,70,3.22%,92
BRK-B,Berkshire Hathaway Inc.,STOCK,59.66,7.07x,100,2.33x,90,18.81x,87,N/A,N/A,29.77%,95,-2.12x,100,21.74x,71,0.27%,34,66.13%,83,15.22x,29,10.06x,0,0.00x,100,18.03%,72,Buy (1.75),81,9.81%,47,-0.70%,16,0.97%,97
BRO,"Brown & Brown, Inc.",STOCK,66.69,1.04x,15,5.48x,34,62.98x,98,0.95%,14,34.39%,99,14.82x,74,13.30x,94,13.08%,98,83.04%,96,21.54x,0,N/A,N/A,1.77x,76,18.29%,73,Hold (2.72),39,11.23%,67,36.20%,100,7.16%,65
BSX,Boston Scientific Corporation,STOCK,76.93,N/A,N/A,1.66x,94,48.92x,100,N/A,N/A,26.33%,97,18.28x,32,15.90x,89,0.21%,33,95.21%,99,25.08x,49,0.75x,100,3.67x,27,17.29%,69,Strong Buy (1.36),90,N/A,N/A,11.60%,87,1.73%,96
BX,Blackstone Inc.,STOCK,55.52,1.02x,13,2.03x,92,66.12x,96,4.13%,87,0.00%,0,N/A,N/A,15.92x,89,1.07%,38,69.50%,87,30.86x,0,1.70x,25,11.29x,0,21.21%,85,Buy (2.05),71,29.53%,100,5.70%,55,2.60%,94
BXP,"BXP, Inc.",STOCK,39.26,0.92x,9,5.39x,36,226.00x,1,5.31%,96,51.09%,100,17.15x,53,27.83x,40,0.40%,34,116.90%,100,33.35x,0,2.22x,77,1.79x,65,8.78%,35,Buy (2.18),65,4.92%,5,-31.90%,0,9.40%,40
C,Citigroup Inc.,STOCK,71.01,N/A,N/A,0.02x,99,N/A,N/A,1.86%,32,0.00%,0,N/A,N/A,10.42x,96,0.27%,34,82.90%,96,15.98x,19,0.72x,100,1.15x,93,20.36%,81,Buy (1.61),85,7.65%,20,16.90%,97,0.02%,98
CAG,"Conagra Brands, Inc.",STOCK,43.63,0.90x,8,2.40x,89,89.81x,80,9.92%,100,15.47%,67,8.11x,99,8.31x,98,0.65%,36,87.21%,97,N/A,N/A,10.86x,0,0.83x,96,-0.39%,0,Hold (3.11),23,-0.51%,1,-1.90%,12,11.03%,24
CAH,"Cardinal Health, Inc.",STOCK,62.40,0.91x,8,3.53x,75,N/A,N/A,1.01%,15,1.56%,0,14.14x,84,17.46x,86,0.26%,34,90.31%,98,29.11x,23,1.29x,62,-16.56x,100,0.68%,3,Strong Buy (1.50),88,N/A,N/A,18.80%,98,2.89%,93
CARR,Carrier Global Corporation,STOCK,47.94,1.20x,27,2.63x,87,87.72x,82,1.55%,25,15.53%,21,18.62x,39,19.51x,80,6.15%,68,90.48%,98,36.63x,33,1.46x,45,3.75x,25,6.82%,27,Buy (1.96),74,10.93%,35,-6.00%,4,2.73%,93
CASY,"Casey's General Stores, Inc.",STOCK,36.06,1.04x,15,1.36x,96,75.15x,92,0.28%,7,8.18%,3,23.15x,10,40.34x,5,0.47%,35,89.55%,98,46.08x,9,2.05x,8,7.72x,0,3.83%,15,Buy (1.83),79,17.88%,89,0.30%,20,3.47%,91
CAT,Caterpillar Inc.,STOCK,48.49,1.44x,54,3.27x,79,206.67x,3,0.73%,11,20.66%,55,30.11x,1,29.62x,32,0.22%,34,73.00%,91,44.06x,13,2.23x,4,18.09x,0,13.14%,53,Buy (2.11),68,43.53%,100,18.00%,98,1.64%,96
CB,Chubb Limited,STOCK,71.54,0.34x,1,2.44x,89,N/A,N/A,1.20%,18,23.82%,76,9.05x,97,11.10x,96,9.45%,86,84.30%,97,11.48x,86,2.87x,0,1.74x,77,18.51%,74,Buy (2.40),55,15.43%,96,10.10%,82,0.98%,97
CBOE,"Cboe Global Markets, Inc.",STOCK,56.37,1.87x,91,2.87x,85,30.96x,95,0.93%,14,34.65%,99,18.74x,38,22.41x,68,0.25%,34,89.33%,98,28.64x,0,3.83x,0,6.08x,0,23.33%,93,Hold (3.12),23,23.36%,100,8.70%,75,2.98%,92
CBRE,"CBRE Group, Inc.",STOCK,57.36,1.08x,17,1.86x,93,113.69x,57,N/A,N/A,5.21%,1,23.57x,8,16.56x,88,0.51%,35,100.08%,99,33.31x,0,0.89x,83,4.95x,0,3.11%,12,Buy (1.54),87,15.60%,77,18.60%,98,1.23%,96
CCEP,Coca-Cola Europacific Partners PLC,STOCK,45.42,0.80x,5,3.15x,81,130.00x,41,2.45%,49,16.39%,76,15.60x,24,16.88x,87,54.86%,0,37.37%,22,19.27x,61,2.81x,0,4.71x,7,9.29%,37,Buy (1.82),79,22.89%,98,0.20%,20,4.43%,86
CCI,Crown Castle Inc.,STOCK,52.83,0.27x,0,3.43x,77,N/A,N/A,5.09%,95,64.80%,100,24.25x,7,28.21x,39,0.11%,33,99.14%,99,35.21x,0,1.42x,100,-18.95x,100,25.14%,100,Buy (2.10),69,N/A,N/A,-4.80%,5,2.88%,93
CCL,Carnival Corporation & plc,STOCK,75.30,0.30x,0,1.52x,95,203.90x,4,0.56%,9,26.89%,88,8.59x,97,10.34x,96,7.83%,77,71.08%,89,11.79x,97,1.08x,82,2.85x,56,11.48%,46,Buy (1.58),86,27.85%,100,6.10%,58,3.75%,90
