Symbol,Name,Asset Type,Total Score (%),Trailing P/E Ratio (Value),Trailing P/E Ratio (Strength %),Forward P/E Ratio (Value),Forward P/E Ratio (Strength %),PEG Ratio (Value),PEG Ratio (Strength %),Price to Book (Value),Price to Book (Strength %),Return on Equity (Value),Return on Equity (Strength %),Profit Margin (Value),Profit Margin (Strength %),Debt to Equity (Value),Debt to Equity (Strength %),Current Ratio (Value),Current Ratio (Strength %),Revenue Growth (Value),Revenue Growth (Strength %),Insider Ownership (Value),Insider Ownership (Strength %),Institutional Ownership (Value),Institutional Ownership (Strength %),Dividend Yield (Value),Dividend Yield (Strength %),Analyst Recommendation (Value),Analyst Recommendation (Strength %),Short % of Float (Value),Short % of Float (Strength %),Short Ratio (Value),Short Ratio (Strength %),EV/EBITDA (Value),EV/EBITDA (Strength %),EBITDA Margin (Value),EBITDA Margin (Strength %)
AMGN,Amgen Inc.,STOCK,58.56,24.21x,56,14.75x,91,2.27x,3,21.44x,0,106.10%,100,20.98%,84,640.27x,0,1.14x,22,8.60%,74,0.22%,34,85.24%,97,2.93%,62,Hold (2.51),49,2.37%,94,4.66x,52,13.96x,86,45.21%,100
AMZN,"Amazon.com, Inc.",STOCK,58.22,36.77x,33,27.91x,40,1.91x,13,6.89x,0,22.29%,98,10.83%,43,43.44x,99,1.05x,15,13.60%,93,8.94%,83,67.04%,84,N/A,N/A,Strong Buy (1.35),90,0.95%,97,2.02x,92,19.83x,29,20.33%,52
APP,AppLovin Corporation,STOCK,63.82,44.65x,11,22.04x,70,1.26x,65,71.04x,0,212.94%,100,60.83%,100,171.80x,13,3.32x,100,65.90%,100,18.40%,94,81.30%,96,N/A,N/A,Strong Buy (1.47),88,4.26%,87,2.81x,85,35.64x,0,78.00%,100
ARM,Arm Holdings plc,STOCK,40.50,313.08x,0,109.51x,0,2.83x,0,31.98x,0,11.27%,38,17.15%,69,5.91x,76,5.43x,100,26.30%,100,0.05%,33,95.00%,99,N/A,N/A,Buy (1.87),77,11.46%,21,1.90x,93,227.24x,0,23.20%,27
ASML,ASML Holding N.V.,STOCK,54.15,48.08x,28,30.68x,70,2.25x,4,1271.59x,0,52.24%,100,29.71%,100,12.99x,83,1.36x,45,13.20%,92,0.01%,33,18.66%,4,0.60%,10,Strong Buy (1.45),89,0.19%,98,0.41x,98,43.77x,7,37.71%,92
AVGO,Broadcom Inc.,STOCK,67.11,82.57x,0,23.33x,91,0.92x,93,25.07x,0,33.37%,100,36.57%,100,82.70x,86,1.90x,92,29.50%,100,1.97%,43,79.46%,95,0.62%,10,Strong Buy (1.28),92,1.18%,96,2.11x,92,55.17x,0,54.51%,100
AXON,"Axon Enterprise, Inc.",STOCK,43.00,262.99x,0,37.57x,8,1.64x,29,9.82x,0,4.48%,4,4.49%,18,59.11x,99,2.53x,100,38.50%,100,4.34%,57,85.28%,97,N/A,N/A,Buy (1.60),85,4.52%,86,2.82x,85,600.11x,0,1.93%,0
BKNG,Booking Holdings Inc.,STOCK,77.81,27.23x,71,14.51x,92,0.74x,100,-25.77x,100,N/A,N/A,20.08%,80,N/A,N/A,1.33x,42,16.00%,96,0.19%,33,97.98%,99,0.87%,13,Buy (1.53),87,3.46%,91,3.52x,75,14.34x,78,37.56%,99
BKR,Baker Hughes Company,STOCK,44.71,22.03x,2,23.88x,0,3.73x,0,3.54x,31,17.18%,86,11.17%,45,82.94x,86,2.13x,97,2.50%,32,0.15%,33,102.14%,99,1.33%,20,Buy (1.73),82,2.66%,93,2.50x,88,14.27x,1,17.28%,31
CCEP,Coca-Cola Europacific Partners PLC,STOCK,45.89,19.65x,55,17.21x,86,2.81x,0,4.81x,7,22.89%,98,9.29%,37,130.00x,41,0.80x,5,0.20%,20,54.86%,0,37.37%,22,2.40%,47,Buy (1.82),79,4.43%,86,3.15x,81,15.85x,20,16.39%,76
CDNS,"Cadence Design Systems, Inc.",STOCK,56.68,81.99x,0,35.45x,48,2.97x,0,16.53x,0,21.86%,98,20.93%,84,48.71x,100,2.86x,100,6.20%,59,0.34%,34,89.59%,98,N/A,N/A,Strong Buy (1.42),89,2.15%,95,2.75x,86,47.31x,3,36.02%,88
CEG,Constellation Energy Corporation,STOCK,47.81,42.37x,16,22.93x,66,3.74x,0,6.75x,0,16.36%,82,9.08%,36,63.94x,90,1.53x,65,12.90%,91,0.35%,34,78.85%,94,0.54%,9,Buy (1.76),81,3.18%,92,3.51x,75,21.25x,2,22.06%,9
CHTR,"Charter Communications, Inc.",STOCK,59.24,4.87x,99,3.80x,99,0.30x,80,1.42x,91,27.50%,100,9.03%,36,455.67x,0,0.40x,1,-1.00%,15,31.60%,25,72.95%,90,N/A,N/A,Hold (2.89),32,35.76%,0,10.46x,1,5.55x,99,40.37%,100
CMCSA,Comcast Corporation,STOCK,72.77,5.40x,99,7.16x,98,142.98x,0,1.11x,94,20.92%,96,15.00%,60,106.86x,64,0.86x,7,5.30%,52,0.76%,36,89.38%,98,4.79%,94,Hold (2.74),38,2.15%,95,2.15x,91,5.20x,99,28.23%,92
COST,Costco Wholesale Corporation,STOCK,39.16,52.64x,0,44.99x,2,5.60x,0,27.12x,0,29.65%,100,2.99%,12,60.26x,99,1.06x,16,21.50%,99,0.17%,33,72.28%,90,0.58%,9,Buy (1.97),74,1.48%,96,3.71x,72,33.19x,0,4.70%,1
CPRT,"Copart, Inc.",STOCK,72.26,20.80x,88,19.69x,79,4.02x,0,3.25x,41,17.13%,86,33.76%,100,0.98x,72,10.06x,100,-3.60%,7,8.66%,82,86.02%,97,N/A,N/A,N/A,N/A,3.89%,89,3.87x,69,13.82x,81,42.14%,100
CRWD,"CrowdStrike Holdings, Inc.",STOCK,50.29,N/A,N/A,72.61x,0,3.70x,0,25.64x,0,-4.14%,0,-3.38%,0,18.34x,87,1.77x,86,23.30%,100,3.12%,49,75.35%,92,N/A,N/A,Buy (1.66),84,2.62%,93,1.63x,94,-2341.98x,100,-0.97%,0
CSCO,"Cisco Systems, Inc.",STOCK,71.28,32.02x,85,19.73x,95,1.38x,53,7.37x,0,23.75%,99,18.76%,75,66.51x,96,0.95x,10,9.70%,80,0.06%,33,82.08%,96,1.89%,33,Buy (1.85),78,1.47%,96,2.59x,88,22.56x,91,27.59%,51
CSGP,"CoStar Group, Inc.",STOCK,48.98,1822.00x,0,20.66x,75,0.15x,40,1.83x,62,0.09%,1,0.22%,1,13.67x,83,2.84x,100,26.90%,100,1.16%,38,104.89%,100,N/A,N/A,Buy (1.80),80,4.70%,85,2.54x,88,71.03x,0,6.44%,2
CSX,CSX Corporation,STOCK,57.07,27.86x,69,21.14x,74,2.10x,7,6.21x,1,23.68%,99,21.55%,86,143.06x,30,0.97x,11,1.70%,27,0.24%,34,80.31%,95,1.23%,18,Buy (2.04),71,2.27%,94,3.31x,79,15.50x,69,46.82%,100
CTAS,Cintas Corporation,STOCK,55.33,37.19x,31,32.42x,21,2.80x,0,14.69x,0,41.30%,100,17.57%,70,60.94x,98,1.98x,95,8.90%,76,14.97%,100,67.70%,85,1.02%,15,Buy (2.43),53,3.54%,90,4.07x,65,25.18x,5,26.33%,87
CTSH,Cognizant Technology Solutions Corporation,STOCK,70.77,12.09x,99,8.99x,99,0.90x,95,1.76x,86,15.16%,74,10.56%,42,7.82x,78,2.14x,97,4.90%,49,0.11%,33,105.75%,100,2.40%,47,Buy (2.14),67,9.83%,35,6.56x,16,6.68x,100,18.16%,10
DASH,"DoorDash, Inc.",STOCK,45.69,83.39x,0,23.40x,63,1.81x,18,7.65x,0,10.44%,31,6.82%,27,32.75x,96,1.41x,51,37.70%,100,0.68%,36,98.50%,99,N/A,N/A,Buy (1.62),85,2.97%,92,2.87x,85,61.24x,0,8.88%,4
DDOG,"Datadog, Inc.",STOCK,46.25,417.68x,0,48.99x,6,0.97x,90,12.23x,0,3.34%,3,3.14%,13,34.27x,97,3.38x,100,29.20%,100,0.73%,36,90.94%,98,N/A,N/A,Strong Buy (1.41),90,4.47%,86,2.78x,86,5638.96x,0,0.22%,0
DXCM,"DexCom, Inc.",STOCK,66.34,29.46x,21,20.59x,76,1.34x,57,8.63x,0,34.50%,100,17.94%,72,50.85x,100,1.88x,91,13.10%,92,0.28%,34,100.74%,99,N/A,N/A,Strong Buy (1.41),90,4.53%,86,3.77x,71,19.85x,16,24.96%,95
EA,Electronic Arts Inc.,STOCK,35.91,75.62x,0,21.93x,70,1.78x,20,8.24x,0,10.03%,27,9.31%,37,36.44x,97,0.93x,9,1.00%,24,0.21%,33,95.23%,99,0.37%,8,Hold (2.70),40,4.81%,84,5.15x,41,37.22x,0,18.41%,39
EXC,Exelon Corporation,STOCK,57.36,17.19x,93,15.43x,90,2.86x,0,1.67x,88,9.94%,27,11.41%,46,174.49x,65,0.92x,9,-1.10%,14,0.07%,33,92.80%,99,3.58%,78,Hold (2.82),35,4.77%,84,5.70x,30,11.99x,85,33.56%,74
FANG,"Diamondback Energy, Inc.",STOCK,47.39,34.00x,0,11.53x,40,52.08x,0,1.50x,90,3.74%,3,11.64%,47,33.78x,96,0.42x,1,-9.40%,1,30.65%,29,65.39%,82,2.16%,40,Buy (1.52),87,4.28%,87,2.45x,89,7.38x,72,71.40%,100
FAST,Fastenal Company,STOCK,51.27,39.55x,23,32.74x,20,3.22x,0,12.86x,0,33.84%,100,15.39%,62,11.17x,81,4.39x,100,12.40%,90,0.17%,33,88.11%,98,2.06%,37,Hold (2.82),35,2.41%,94,2.84x,85,27.24x,2,22.37%,67
FER,Ferrovial SE,STOCK,27.54,48.65x,6,46.98x,1,5.58x,0,7.19x,0,14.32%,67,9.22%,37,140.01x,32,1.13x,21,5.70%,55,36.22%,11,37.28%,22,1.51%,24,N/A,N/A,0.67%,97,2.65x,87,39.83x,0,15.14%,19
FTNT,"Fortinet, Inc.",STOCK,71.14,34.86x,78,25.49x,87,2.05x,8,50.63x,0,135.72%,100,27.26%,100,85.80x,84,1.17x,25,14.80%,95,17.43%,97,71.35%,89,N/A,N/A,Hold (2.76),37,3.17%,92,3.03x,83,26.90x,79,32.74%,77
GEHC,GE HealthCare Technologies Inc.,STOCK,69.15,15.13x,95,12.38x,95,1.64x,29,3.02x,49,22.38%,98,10.10%,40,98.72x,72,1.37x,47,7.10%,65,0.35%,34,93.11%,99,0.20%,6,Buy (1.85),78,3.01%,92,3.37x,78,10.31x,98,17.66%,52
GILD,"Gilead Sciences, Inc.",STOCK,76.09,19.23x,85,13.56x,93,0.36x,85,7.13x,0,40.66%,100,28.90%,100,112.92x,58,1.55x,68,4.70%,48,0.12%,33,92.45%,98,2.52%,51,Buy (1.70),83,1.83%,95,3.88x,69,12.19x,94,49.51%,100
GOOG,Alphabet Inc.,STOCK,61.41,31.64x,54,25.36x,53,2.34x,2,9.96x,0,35.71%,100,32.81%,100,16.13x,85,2.00x,95,18.00%,98,6.64%,71,60.88%,74,0.25%,7,Strong Buy (1.39),90,N/A,N/A,2.10x,92,27.18x,2,37.28%,99
GOOGL,Alphabet Inc.,STOCK,61.97,31.86x,53,25.51x,53,2.36x,2,10.03x,0,35.71%,100,32.81%,100,16.13x,85,2.00x,95,18.00%,98,0.57%,35,80.66%,95,0.24%,7,Strong Buy (1.39),90,1.34%,96,2.72x,86,27.34x,2,37.28%,99
HON,Honeywell International Inc.,STOCK,50.93,34.00x,44,18.56x,83,1.94x,12,9.74x,0,24.26%,99,10.89%,44,257.39x,0,1.39x,48,2.40%,32,0.07%,33,81.04%,95,2.23%,42,Buy (2.04),71,1.75%,96,3.04x,82,18.94x,36,22.64%,69
IDXX,"IDEXX Laboratories, Inc.",STOCK,51.41,43.30x,0,34.49x,14,3.94x,0,28.10x,0,66.20%,100,24.62%,98,60.83x,98,1.23x,30,14.30%,94,0.71%,36,96.05%,99,N/A,N/A,Buy (2.13),67,2.97%,92,4.06x,65,30.47x,0,34.97%,100
INSM,Insmed Incorporated,STOCK,51.55,N/A,N/A,180.44x,0,1.09x,81,39.19x,0,-249.28%,0,-210.54%,0,101.43x,69,3.83x,100,152.60%,100,0.55%,35,102.56%,99,N/A,N/A,Strong Buy (1.19),93,7.24%,64,5.41x,35,-29.02x,100,-161.68%,0
INTC,Intel Corporation,STOCK,54.80,N/A,N/A,56.41x,1,1.36x,55,3.61x,29,-2.91%,0,-5.90%,0,36.03x,97,2.31x,99,7.20%,66,12.96%,98,61.70%,76,N/A,N/A,Hold (2.66),42,2.87%,93,1.38x,95,31.09x,58,26.36%,43
INTU,Intuit Inc.,STOCK,78.99,25.78x,94,14.95x,98,1.02x,87,5.77x,2,23.46%,99,21.57%,86,36.15x,97,1.32x,41,17.40%,97,2.35%,45,90.69%,98,1.17%,17,Strong Buy (1.47),88,3.90%,89,2.84x,85,18.57x,96,30.35%,66
ISRG,"Intuitive Surgical, Inc.",STOCK,50.31,58.45x,0,40.94x,4,2.59x,1,9.61x,0,17.23%,87,28.15%,100,N/A,N/A,4.61x,100,23.00%,100,0.56%,35,89.36%,98,N/A,N/A,Buy (1.94),75,1.89%,95,4.03x,66,42.82x,0,36.72%,100
KDP,Keurig Dr Pepper Inc.,STOCK,63.44,21.64x,28,11.57x,95,0.98x,90,1.56x,89,6.31%,8,10.81%,43,85.98x,84,2.31x,99,9.40%,79,4.97%,60,97.44%,99,3.15%,68,Buy (2.06),70,5.14%,82,5.86x,27,17.13x,9,26.22%,100
KHC,The Kraft Heinz Company,STOCK,61.90,N/A,N/A,10.27x,96,0.99x,89,0.62x,97,-12.84%,0,-23.44%,0,52.10x,100,1.15x,23,-3.40%,8,27.79%,44,62.91%,78,7.29%,100,Hold (3.14),22,8.66%,48,4.76x,50,7.72x,99,22.96%,99
KLAC,KLA Corporation,STOCK,51.68,56.18x,9,40.10x,27,2.15x,5,46.43x,0,100.73%,100,35.76%,100,111.78x,59,2.83x,100,7.20%,66,0.10%,33,93.59%,99,0.39%,8,Buy (1.93),75,2.84%,93,3.57x,74,44.33x,6,45.05%,98
LIN,Linde plc,STOCK,48.69,34.98x,0,26.15x,49,2.40x,2,6.19x,1,17.82%,89,20.30%,81,70.63x,94,0.88x,7,5.80%,56,0.26%,34,86.99%,97,1.25%,7,Buy (1.70),83,1.45%,96,2.75x,86,19.56x,0,39.26%,98
LRCX,Lam Research Corporation,STOCK,62.13,50.52x,21,34.51x,52,1.59x,33,33.02x,0,66.76%,100,30.94%,100,35.28x,97,2.54x,100,23.80%,100,0.29%,34,88.62%,98,0.39%,8,Buy (1.57),86,2.33%,94,2.54x,88,42.54x,9,36.20%,89
MAR,"Marriott International, Inc.",STOCK,51.56,38.61x,26,28.15x,39,2.22x,4,-25.88x,100,N/A,N/A,37.25%,100,N/A,N/A,0.43x,1,6.30%,59,17.80%,96,65.65%,82,0.73%,11,Buy (2.27),61,2.36%,94,3.70x,72,24.82x,5,65.84%,100
MCHP,Microchip Technology Incorporated,STOCK,52.50,N/A,N/A,33.62x,57,1.11x,79,7.38x,0,-1.09%,0,-1.57%,0,82.38x,86,2.16x,98,15.60%,96,2.09%,43,99.43%,99,2.03%,37,Buy (1.62),85,5.93%,76,3.29x,79,54.65x,1,22.41%,23
MDLZ,"Mondelez International, Inc.",STOCK,52.58,30.48x,0,17.16x,87,0.95x,92,2.86x,55,9.33%,22,6.36%,25,84.85x,84,0.59x,2,9.30%,78,0.21%,33,88.26%,98,3.47%,76,Buy (1.85),78,3.25%,92,3.76x,71,18.79x,3,12.95%,37
MELI,"MercadoLibre, Inc.",STOCK,52.62,46.51x,9,26.45x,48,0.86x,97,13.79x,0,35.99%,100,6.91%,28,169.24x,14,1.17x,25,44.60%,100,7.30%,74,82.99%,96,N/A,N/A,Strong Buy (1.35),91,2.02%,95,2.35x,90,24.42x,6,13.91%,14
META,"Meta Platforms, Inc.",STOCK,76.70,28.74x,65,18.72x,82,1.10x,80,7.86x,0,30.24%,100,30.08%,100,39.16x,98,2.60x,100,23.80%,100,0.12%,33,78.34%,94,0.31%,7,Strong Buy (1.36),90,1.21%,96,1.48x,95,16.79x,57,50.70%,100
MNST,Monster Beverage Corporation,STOCK,53.26,40.32x,0,30.84x,27,2.26x,3,9.27x,0,26.82%,100,22.97%,92,0.80x,71,3.70x,100,17.60%,98,28.49%,40,69.01%,87,N/A,N/A,Buy (2.08),70,3.09%,92,4.35x,59,27.77x,0,32.05%,100
MPWR,"Monolithic Power Systems, Inc.",STOCK,49.06,126.61x,0,62.88x,0,2.68x,0,22.51x,0,19.17%,93,22.27%,89,0.68x,71,5.91x,100,20.80%,99,3.86%,54,101.36%,99,0.49%,9,Strong Buy (1.38),90,4.34%,87,3.36x,78,101.05x,0,27.99%,53
MRVL,"Marvell Technology, Inc.",STOCK,59.37,53.52x,14,30.29x,72,1.93x,12,9.73x,0,19.25%,93,32.58%,100,33.48x,96,2.01x,95,22.10%,99,0.40%,34,83.73%,96,0.15%,6,Strong Buy (1.49),88,3.90%,89,1.16x,96,55.45x,0,32.09%,75
MSFT,Microsoft Corporation,STOCK,78.44,26.59x,94,22.44x,92,1.34x,57,8.07x,0,34.39%,100,39.04%,100,31.54x,95,1.39x,48,16.70%,97,0.08%,33,75.88%,93,0.86%,13,Strong Buy (1.29),92,1.12%,97,2.53x,88,18.18x,97,57.38%,100
MSTR,Strategy Inc,STOCK,54.51,N/A,N/A,4.70x,100,2.85x,0,1.21x,93,-11.11%,0,0.00%,0,16.16x,85,5.62x,100,1.90%,29,0.16%,33,56.53%,66,N/A,N/A,Strong Buy (1.27),92,11.39%,21,2.04x,92,-12.85x,100,0.00%,0
MU,"Micron Technology, Inc.",STOCK,82.82,23.42x,96,4.91x,100,0.29x,79,7.73x,0,39.82%,100,41.49%,100,14.90x,84,2.90x,100,196.30%,100,0.26%,34,82.20%,96,0.12%,6,Strong Buy (1.45),89,3.23%,92,0.69x,98,15.12x,98,63.32%,100
NFLX,"Netflix, Inc.",STOCK,65.94,29.79x,61,24.03x,60,1.82x,18,14.65x,0,48.49%,100,28.52%,100,53.79x,100,1.41x,51,16.20%,96,0.58%,35,83.99%,97,N/A,N/A,Buy (1.70),83,1.86%,95,2.14x,91,27.57x,2,30.47%,96
NVDA,NVIDIA Corporation,STOCK,74.37,42.59x,50,18.53x,96,0.74x,100,32.18x,0,101.48%,100,55.60%,100,7.25x,78,3.90x,100,73.20%,100,4.21%,56,69.67%,87,0.02%,5,Strong Buy (1.29),92,1.22%,96,1.68x,94,37.60x,23,61.70%,100
NXPI,NXP Semiconductors N.V.,STOCK,75.95,30.66x,88,14.65x,98,0.76x,100,6.14x,1,20.70%,96,16.47%,66,119.71x,51,2.05x,96,7.20%,66,0.13%,33,99.03%,99,1.66%,27,Buy (1.72),82,3.77%,89,3.23x,80,17.59x,97,33.03%,79
ODFL,"Old Dominion Freight Line, Inc.",STOCK,41.93,45.45x,10,36.18x,11,3.03x,0,10.64x,0,23.93%,99,18.62%,74,3.28x,74,1.44x,54,-5.70%,4,8.21%,79,83.64%,96,0.53%,9,Hold (2.60),45,6.84%,68,5.55x,33,26.58x,3,31.40%,97
ORLY,"O'Reilly Automotive, Inc.",STOCK,54.76,31.36x,55,26.12x,49,2.30x,3,-102.68x,100,N/A,N/A,14.27%,57,N/A,N/A,0.77x,4,7.80%,70,0.50%,35,89.01%,98,N/A,N/A,Buy (1.63),85,2.02%,95,3.09x,82,21.75x,16,22.34%,67
PANW,"Palo Alto Networks, Inc.",STOCK,41.44,99.19x,0,44.98x,12,2.99x,0,13.36x,0,16.26%,81,12.96%,52,4.89x,75,1.04x,15,14.90%,95,0.79%,36,74.73%,92,N/A,N/A,Buy (1.62),85,3.21%,92,3.06x,82,92.17x,0,15.53%,6
PAYX,"Paychex, Inc.",STOCK,69.84,19.83x,98,15.22x,98,1.72x,24,8.02x,0,N/A,N/A,26.63%,100,124.91x,46,1.15x,23,19.90%,99,10.38%,90,84.47%,97,4.81%,94,Hold (3.26),18,6.36%,72,4.60x,53,22.02x,92,40.52%,96
PCAR,PACCAR Inc,STOCK,54.39,28.16x,67,18.78x,82,1.27x,64,3.46x,34,12.92%,54,8.35%,33,81.94x,87,2.17x,98,-13.70%,0,1.86%,42,75.18%,92,1.04%,15,Buy (2.35),57,2.68%,93,4.77x,50,21.42x,18,12.03%,9
PDD,PDD Holdings Inc.,STOCK,82.65,9.99x,98,6.95x,98,0.70x,100,2.26x,75,27.29%,100,23.01%,92,1.30x,72,2.45x,99,12.00%,89,0.29%,34,32.29%,15,N/A,N/A,Buy (1.69),83,N/A,N/A,3.40x,77,1.40x,100,22.08%,65
PEP,"PepsiCo, Inc.",STOCK,51.83,24.40x,7,16.98x,87,1.67x,27,9.94x,0,43.88%,100,9.15%,37,244.84x,1,0.90x,8,8.50%,74,0.20%,33,79.55%,95,3.66%,80,Hold (2.57),47,1.69%,96,3.31x,79,13.61x,57,19.59%,94
PLTR,Palantir Technologies Inc.,STOCK,52.74,227.13x,0,76.83x,0,2.83x,0,46.32x,0,25.98%,100,36.31%,100,3.06x,74,7.11x,100,70.00%,100,3.58%,52,61.52%,76,N/A,N/A,Buy (1.93),75,2.43%,94,1.10x,96,232.88x,0,32.18%,75
PYPL,"PayPal Holdings, Inc.",STOCK,71.95,9.33x,97,8.72x,97,0.91x,94,2.29x,11,25.73%,100,15.78%,63,60.70x,98,1.29x,36,3.70%,41,0.66%,36,83.12%,96,1.11%,16,Hold (2.82),35,5.58%,79,2.77x,86,7.27x,98,20.04%,50
QCOM,QUALCOMM Incorporated,STOCK,75.67,30.01x,89,13.51x,99,0.64x,100,6.93x,0,21.48%,97,11.96%,48,64.22x,97,2.50x,100,5.00%,50,0.14%,33,81.50%,96,2.47%,49,Hold (2.72),39,5.10%,82,3.79x,70,11.76x,99,30.68%,68
REGN,"Regeneron Pharmaceuticals, Inc.",STOCK,70.87,18.11x,88,14.24x,92,1.60x,32,2.47x,69,14.86%,72,31.41%,100,9.51x,80,4.13x,100,2.50%,32,1.98%,43,90.87%,98,0.50%,9,Buy (1.62),85,2.84%,93,4.49x,56,16.84x,52,29.60%,99
ROP,"Roper Technologies, Inc.",STOCK,70.53,22.07x,97,14.86x,98,1.56x,36,1.89x,84,9.01%,20,21.12%,84,55.61x,100,0.53x,1,11.30%,86,0.38%,34,100.80%,99,1.03%,15,Buy (2.40),55,4.28%,87,3.02x,83,14.48x,99,39.37%,94
ROST,"Ross Stores, Inc.",STOCK,52.24,34.25x,43,28.00x,40,3.29x,0,11.79x,0,36.68%,100,9.43%,38,84.24x,85,1.58x,71,12.20%,89,2.14%,44,93.79%,99,0.79%,12,Buy (1.67),84,2.38%,94,2.62x,87,22.88x,11,14.14%,15
SBUX,Starbucks Corporation,STOCK,34.85,82.22x,0,33.90x,16,1.70x,25,-13.40x,100,N/A,N/A,3.63%,15,N/A,N/A,1.05x,15,5.50%,54,0.13%,33,84.52%,97,2.51%,50,Buy (2.41),54,4.42%,86,6.08x,23,25.36x,4,14.05%,15
SHOP,Shopify Inc.,STOCK,40.55,133.86x,0,54.63x,2,2.41x,2,12.18x,0,9.84%,26,10.65%,43,1.40x,72,5.96x,100,30.60%,100,0.19%,33,74.03%,91,N/A,N/A,Buy (1.76),81,1.78%,95,2.67x,87,82.13x,0,16.69%,7
SNDK,Sandisk Corporation,STOCK,52.79,N/A,N/A,8.65x,99,N/A,N/A,14.34x,0,-9.37%,0,-11.66%,0,7.96x,78,3.11x,100,61.20%,100,5.48%,64,82.51%,96,N/A,N/A,Buy (1.65),84,10.33%,30,0.53x,98,102.00x,0,15.96%,6
SNPS,"Synopsys, Inc.",STOCK,48.15,76.93x,0,29.37x,75,3.30x,0,3.14x,45,5.54%,6,13.76%,55,35.58x,97,1.36x,45,65.50%,100,2.95%,48,90.96%,98,N/A,N/A,Buy (1.76),81,2.35%,94,2.52x,88,64.77x,0,20.17%,15
