Symbol,Name,Asset Type,Total Score (%),Current Ratio (Value),Current Ratio (Strength %),Short Ratio (Value),Short Ratio (Strength %),Debt to Equity (Value),Debt to Equity (Strength %),Dividend Yield (Value),Dividend Yield (Strength %),EBITDA Margin (Value),EBITDA Margin (Strength %),EV/EBITDA (Value),EV/EBITDA (Strength %),Forward P/E Ratio (Value),Forward P/E Ratio (Strength %),Insider Ownership (Value),Insider Ownership (Strength %),Institutional Ownership (Value),Institutional Ownership (Strength %),Trailing P/E Ratio (Value),Trailing P/E Ratio (Strength %),PEG Ratio (Value),PEG Ratio (Strength %),Price to Book (Value),Price to Book (Strength %),Profit Margin (Value),Profit Margin (Strength %),Analyst Recommendation (Value),Analyst Recommendation (Strength %),Return on Equity (Value),Return on Equity (Strength %),Revenue Growth (Value),Revenue Growth (Strength %),Short % of Float (Value),Short % of Float (Strength %)
ADP,"Automatic Data Processing, Inc.",STOCK,67.72,1.03x,14,3.69x,72,70.04x,95,3.16%,69,29.17%,60,14.32x,96,17.68x,97,0.16%,33,86.47%,97,19.98x,98,2.71x,0,14.03x,92,19.96%,80,Hold (2.83),34,73.84%,100,6.20%,59,3.89%,89
ADSK,"Autodesk, Inc.",STOCK,76.24,0.85x,6,2.49x,89,89.79x,80,N/A,N/A,26.45%,44,27.12x,71,17.33x,97,0.26%,34,96.20%,99,46.63x,33,0.92x,93,17.01x,89,15.60%,62,Strong Buy (1.42),89,39.67%,100,19.40%,99,2.45%,94
AEE,Ameren Corporation,STOCK,52.50,0.66x,3,5.69x,30,147.12x,84,2.64%,54,43.91%,98,13.83x,67,19.58x,79,0.31%,34,78.85%,94,21.23x,87,2.89x,0,2.34x,72,17.19%,69,Buy (2.00),73,11.34%,39,-8.80%,2,3.68%,90
AEP,"American Electric Power Company, Inc.",STOCK,63.15,0.46x,1,5.52x,33,154.24x,79,2.77%,58,40.94%,96,13.90x,66,19.91x,78,0.02%,33,84.57%,97,20.56x,88,2.88x,0,2.38x,71,16.36%,65,Buy (2.00),73,12.49%,50,13.20%,92,3.34%,91
AES,The AES Corporation,STOCK,61.03,0.77x,4,1.78x,94,259.39x,14,4.87%,94,28.41%,38,13.68x,68,5.98x,99,0.50%,35,89.29%,98,10.90x,97,0.81x,98,2.50x,68,7.44%,30,Hold (2.82),35,1.95%,2,4.70%,48,3.36%,91
AFL,Aflac Incorporated,STOCK,65.40,1.07x,17,3.45x,76,42.68x,99,2.10%,38,27.90%,91,13.56x,82,14.66x,92,10.85%,92,59.42%,72,12.90x,69,1.18x,73,1.99x,65,21.24%,85,Hold (3.07),25,13.12%,86,-9.90%,1,2.03%,95
AIG,"American International Group, Inc.",STOCK,62.27,0.61x,2,1.97x,93,22.65x,90,2.41%,47,30.53%,96,4.91x,99,8.92x,97,0.59%,35,104.49%,100,14.51x,41,1.22x,69,1.03x,95,11.94%,48,Buy (2.36),57,7.72%,21,1.60%,27,1.59%,96
AIZ,"Assurant, Inc.",STOCK,61.34,0.41x,1,2.59x,88,38.84x,98,1.42%,22,11.52%,8,8.00x,98,10.47x,96,0.76%,36,90.31%,98,13.67x,56,2.16x,5,1.96x,66,6.81%,27,N/A,N/A,15.90%,97,7.90%,70,2.26%,94
AJG,Arthur J. Gallagher & Co.,STOCK,64.48,1.06x,16,3.03x,83,56.18x,99,1.36%,21,26.37%,87,17.68x,48,14.01x,93,0.88%,37,93.45%,99,33.73x,0,0.89x,95,2.25x,50,11.48%,46,Buy (1.91),76,7.01%,15,38.30%,100,2.53%,94
AKAM,"Akamai Technologies, Inc.",STOCK,68.78,2.36x,99,2.94x,84,114.02x,57,N/A,N/A,28.06%,53,16.55x,94,13.66x,99,2.08%,43,97.68%,99,33.83x,81,1.18x,73,3.02x,98,10.74%,43,Buy (2.12),68,9.17%,21,7.40%,67,13.37%,10
ALB,Albemarle Corporation,STOCK,56.09,2.23x,98,0.02x,99,33.95x,96,0.82%,4,14.35%,13,36.64x,0,21.51x,72,0.22%,34,86.14%,97,N/A,N/A,1.40x,51,3.13x,45,-9.93%,0,Buy (2.17),66,-4.66%,0,15.90%,96,0.04%,98
ALGN,"Align Technology, Inc.",STOCK,66.78,1.39x,49,3.39x,77,2.01x,73,N/A,N/A,22.07%,86,13.06x,91,14.47x,92,6.82%,72,97.42%,99,30.07x,18,0.93x,93,3.15x,44,10.50%,42,Buy (1.88),77,10.82%,34,6.20%,59,6.08%,75
ALL,The Allstate Corporation,STOCK,76.32,0.36x,1,0.01x,99,23.72x,91,1.99%,35,21.77%,63,4.03x,99,8.39x,98,0.55%,35,88.60%,98,4.79x,100,0.47x,93,1.97x,66,17.81%,71,Buy (2.12),68,45.22%,100,3.00%,36,0.01%,98
ALLE,Allegion plc,STOCK,69.19,1.91x,92,3.58x,74,105.86x,65,1.54%,24,24.30%,78,13.59x,82,14.20x,92,1.16%,38,99.44%,99,18.53x,91,2.11x,6,5.54x,2,15.24%,61,Buy (2.38),56,34.18%,100,9.70%,80,3.57%,90
ALNY,"Alnylam Pharmaceuticals, Inc.",STOCK,62.86,3.13x,100,4.37x,59,276.20x,0,N/A,N/A,18.82%,63,51.16x,0,21.24x,73,0.19%,33,100.86%,99,74.21x,0,0.61x,99,49.67x,0,12.55%,50,Buy (1.79),80,90.36%,100,96.40%,100,5.03%,83
AMAT,"Applied Materials, Inc.",STOCK,64.80,2.71x,100,2.15x,91,33.11x,96,0.54%,9,31.51%,72,35.07x,39,27.65x,81,0.32%,34,85.07%,97,39.95x,61,1.88x,14,14.22x,92,27.78%,100,Buy (1.53),87,38.86%,100,-2.10%,11,1.72%,96
AMCR,Amcor plc,STOCK,65.32,1.30x,38,5.36x,37,138.73x,34,6.83%,99,14.51%,17,11.49x,91,8.65x,97,0.29%,34,71.00%,89,28.38x,67,0.46x,92,1.50x,90,3.04%,12,Buy (1.75),81,7.73%,13,68.10%,100,8.44%,51
AMD,"Advanced Micro Devices, Inc.",STOCK,60.18,2.85x,100,1.08x,97,6.36x,77,N/A,N/A,19.47%,13,86.18x,0,32.54x,62,0.43%,35,72.22%,90,137.61x,0,1.05x,84,9.33x,95,12.52%,50,Buy (1.61),85,7.08%,11,34.10%,100,2.20%,95
AME,"AMETEK, Inc.",STOCK,56.07,1.14x,22,2.71x,86,19.94x,88,0.58%,9,31.85%,97,22.98x,10,26.28x,49,0.43%,35,92.00%,98,34.82x,40,2.95x,0,4.83x,6,20.11%,80,Buy (1.70),83,14.63%,70,11.30%,86,1.60%,96
AMGN,Amgen Inc.,STOCK,60.64,1.26x,34,4.66x,52,623.75x,0,2.91%,62,48.30%,100,12.43x,94,14.06x,92,0.22%,34,85.25%,97,22.95x,65,2.28x,3,20.53x,0,20.96%,84,Hold (2.51),49,101.32%,100,5.80%,56,2.37%,94
AMP,"Ameriprise Financial, Inc.",STOCK,68.72,9.05x,100,3.65x,73,52.78x,100,1.43%,22,0.00%,0,N/A,N/A,9.86x,97,0.17%,33,84.46%,97,11.64x,85,1.60x,32,6.51x,0,20.17%,81,Buy (2.43),53,66.94%,100,9.00%,76,3.92%,89
AMT,American Tower Corporation,STOCK,60.41,0.30x,0,2.00x,92,444.55x,0,3.77%,82,64.44%,100,19.34x,33,26.34x,48,0.09%,33,89.19%,98,29.34x,1,1.92x,92,24.04x,0,26.81%,100,Buy (1.76),81,29.95%,100,6.80%,63,1.69%,96
AMZN,"Amazon.com, Inc.",STOCK,60.84,1.05x,15,2.02x,92,43.44x,99,N/A,N/A,20.33%,52,19.76x,29,27.30x,43,8.94%,83,67.07%,84,32.13x,52,1.92x,13,7.00x,0,10.83%,43,Strong Buy (1.35),90,22.29%,98,13.60%,93,0.95%,97
ANET,"Arista Networks, Inc.",STOCK,65.00,3.05x,100,2.56x,88,0.73x,71,N/A,N/A,43.62%,98,52.53x,3,40.06x,27,17.26%,97,70.82%,89,62.80x,3,2.40x,2,17.54x,89,38.99%,100,Strong Buy (1.40),90,31.40%,100,28.90%,100,1.66%,96
AON,Aon plc,STOCK,55.69,1.11x,19,1.81x,93,168.32x,14,1.05%,15,32.97%,98,14.20x,79,14.58x,92,2.85%,48,89.16%,98,18.30x,4,2.48x,1,7.14x,0,21.51%,86,Buy (2.00),73,46.94%,100,3.70%,41,1.14%,97
AOS,A. O. Smith Corporation,STOCK,65.23,1.56x,68,4.21x,62,34.96x,97,2.30%,44,20.86%,56,11.39x,92,13.96x,93,0.45%,35,99.58%,99,16.09x,94,1.30x,61,4.50x,10,13.84%,55,Buy (2.50),50,28.27%,100,-1.90%,12,6.32%,73
APA,APA Corporation,STOCK,63.61,0.82x,6,2.42x,89,68.69x,95,2.46%,49,59.25%,100,3.81x,98,10.13x,65,0.44%,35,99.11%,99,10.06x,87,1.15x,75,2.32x,73,16.51%,66,Hold (2.86),33,25.32%,99,-28.00%,0,9.36%,40
APD,"Air Products and Chemicals, Inc.",STOCK,37.65,1.46x,57,2.84x,85,101.99x,69,2.39%,29,6.96%,3,102.31x,0,21.31x,73,1.89%,42,93.54%,99,31.76x,0,6.41x,0,4.35x,12,-2.73%,0,Buy (2.00),73,-1.67%,0,5.80%,56,1.67%,96
APH,Amphenol Corporation,STOCK,74.58,1.71x,82,1.58x,95,133.05x,38,0.68%,10,31.27%,71,23.35x,82,27.40x,82,0.47%,35,99.74%,99,40.89x,57,1.65x,29,13.01x,93,17.24%,69,Buy (1.56),86,36.83%,100,58.40%,100,1.27%,96
APO,"Apollo Global Management, Inc.",STOCK,65.21,1.66x,78,5.80x,28,99.47x,71,1.58%,25,0.00%,0,N/A,N/A,12.28x,95,27.07%,48,68.14%,86,23.59x,0,0.67x,100,3.44x,6,10.98%,44,Buy (1.80),80,14.70%,94,87.70%,100,5.80%,77
APP,AppLovin Corporation,STOCK,69.40,3.32x,100,2.81x,85,171.80x,13,N/A,N/A,78.00%,100,35.49x,0,22.61x,67,18.40%,94,81.21%,96,45.82x,10,1.25x,66,72.90x,0,60.83%,100,Strong Buy (1.47),88,212.94%,100,65.90%,100,4.26%,87
APTV,Aptiv PLC,STOCK,61.35,1.74x,84,2.73x,86,85.21x,84,N/A,N/A,15.64%,22,6.08x,99,9.04x,97,0.81%,37,99.55%,99,80.65x,0,0.91x,94,1.40x,91,0.81%,3,Buy (1.55),87,1.95%,2,5.00%,50,4.86%,84
ARE,"Alexandria Real Estate Equities, Inc.",STOCK,50.03,0.80x,5,3.06x,82,66.51x,96,10.07%,100,63.50%,100,12.52x,88,-47.03x,100,1.41%,40,90.61%,98,N/A,N/A,3.24x,22,0.46x,99,-36.14%,0,Hold (2.69),41,-4.14%,0,-11.50%,1,5.94%,76
ARES,Ares Management Corporation,STOCK,58.39,0.47x,1,3.41x,77,163.45x,17,4.60%,92,22.16%,65,36.26x,0,16.07x,89,11.37%,94,88.58%,98,69.59x,0,0.94x,92,9.38x,0,9.41%,38,Buy (1.94),75,13.52%,89,19.50%,99,13.21%,11
ARM,Arm Holdings plc,STOCK,45.58,5.43x,100,1.90x,93,5.91x,76,N/A,N/A,23.20%,27,203.98x,0,98.71x,0,0.05%,33,95.04%,99,277.87x,0,2.53x,1,28.76x,68,17.15%,69,Buy (1.87),77,11.27%,38,26.30%,100,11.46%,21
ASML,ASML Holding N.V.,STOCK,59.07,1.36x,45,0.41x,98,12.99x,83,0.61%,10,37.71%,92,42.84x,15,29.88x,73,0.01%,33,18.68%,4,47.00x,32,2.14x,6,1244.83x,0,29.71%,100,Strong Buy (1.45),89,52.24%,100,13.20%,92,0.19%,98
ATO,Atmos Energy Corporation,STOCK,60.32,1.13x,21,3.93x,68,67.44x,92,2.11%,39,49.12%,100,16.92x,24,21.27x,73,0.40%,34,93.46%,99,24.55x,79,2.27x,3,2.18x,77,25.67%,100,Hold (2.79),36,9.24%,22,14.20%,94,2.64%,93
AVB,"AvalonBay Communities, Inc.",STOCK,41.84,0.19x,0,4.47x,56,79.90x,88,3.89%,84,60.29%,100,18.76x,38,37.10x,9,0.42%,35,93.92%,99,22.73x,13,7.17x,0,2.18x,37,37.21%,100,Hold (2.52),49,9.72%,25,3.40%,38,4.59%,85
AVGO,Broadcom Inc.,STOCK,76.24,1.90x,92,2.11x,92,82.70x,86,0.62%,10,54.51%,100,54.50x,2,23.25x,91,1.97%,43,79.69%,95,82.12x,0,0.91x,94,24.98x,76,36.57%,100,Strong Buy (1.28),92,33.37%,100,29.50%,100,1.18%,96
AVY,Avery Dennison Corporation,STOCK,62.37,1.15x,23,3.15x,81,164.75x,16,2.44%,48,16.02%,24,11.20x,92,14.60x,92,0.64%,36,91.46%,98,18.34x,92,1.92x,13,5.59x,2,7.66%,31,Buy (1.55),87,30.86%,100,7.00%,64,2.94%,93
AWK,"American Water Works Company, Inc.",STOCK,55.60,0.46x,1,5.15x,41,146.99x,84,2.71%,56,54.26%,100,14.89x,52,19.37x,80,0.23%,34,98.67%,99,22.59x,84,2.32x,3,2.29x,74,21.62%,86,Hold (2.75),38,10.50%,31,5.80%,56,6.60%,70
AXON,"Axon Enterprise, Inc.",STOCK,45.09,2.53x,100,2.82x,85,59.11x,99,N/A,N/A,1.93%,0,607.90x,0,38.21x,7,4.34%,57,85.50%,97,262.95x,0,1.64x,29,9.95x,0,4.49%,18,Buy (1.60),85,4.48%,4,38.50%,100,4.52%,86
AXP,American Express Company,STOCK,57.62,1.57x,70,3.50x,76,177.85x,10,1.18%,17,0.00%,0,N/A,N/A,15.90x,89,22.34%,76,65.57%,82,19.96x,1,1.58x,34,6.41x,0,16.30%,65,Buy (2.37),56,34.42%,100,11.60%,87,2.09%,95
AZO,"AutoZone, Inc.",STOCK,62.42,0.89x,8,2.40x,89,N/A,N/A,N/A,N/A,21.37%,60,17.55x,49,20.54x,76,0.25%,34,93.88%,99,25.20x,77,2.02x,9,-20.41x,100,12.47%,50,Buy (1.58),86,N/A,N/A,8.20%,72,2.34%,94
BA,The Boeing Company,STOCK,46.93,1.18x,25,0.24x,98,828.70x,0,N/A,N/A,-3.54%,0,-64.43x,100,52.49x,0,0.05%,33,73.33%,91,90.23x,0,4.58x,0,29.95x,0,2.46%,10,Buy (1.63),85,169.95%,100,14.00%,93,0.20%,98
BAC,Bank of America Corporation,STOCK,79.97,N/A,N/A,0.00x,99,N/A,N/A,2.10%,38,0.00%,0,N/A,N/A,10.56x,96,7.38%,75,71.49%,89,13.24x,64,0.96x,91,1.38x,89,28.96%,100,Strong Buy (1.48),88,10.64%,59,11.80%,88,0.00%,98
BALL,Ball Corporation,STOCK,70.95,1.11x,20,2.83x,85,136.03x,36,1.31%,20,15.29%,20,11.14x,92,13.65x,93,0.26%,34,89.75%,98,18.58x,91,1.30x,61,3.00x,50,6.93%,28,Buy (1.67),84,16.12%,81,16.20%,96,2.74%,93
BAX,Baxter International Inc.,STOCK,50.70,2.31x,99,4.62x,53,160.28x,18,2.13%,39,17.95%,54,8.17x,99,8.50x,98,0.32%,34,109.68%,100,N/A,N/A,36.68x,0,1.44x,91,-8.51%,0,Hold (2.67),42,-13.71%,0,8.00%,71,11.48%,21
BBY,"Best Buy Co., Inc.",STOCK,58.79,1.11x,19,4.37x,59,139.47x,33,6.35%,99,6.24%,2,5.72x,99,8.56x,98,7.57%,76,100.31%,99,11.91x,97,1.16x,75,4.24x,14,2.56%,10,Hold (2.54),48,37.04%,100,-1.00%,15,11.46%,21
BDX,BDX,STOCK,61.53,1.05x,15,N/A,N/A,77.28x,90,2.82%,59,27.56%,90,10.13x,95,11.06x,96,N/A,N/A,N/A,N/A,24.36x,80,1.15x,75,1.68x,87,8.01%,32,N/A,N/A,6.96%,10,1.60%,27,N/A,N/A
