Symbol,Name,Asset Type,Total Score (%),Current Ratio (Value),Current Ratio (Strength %),Short Ratio (Value),Short Ratio (Strength %),Debt to Equity (Value),Debt to Equity (Strength %),Dividend Yield (Value),Dividend Yield (Strength %),EBITDA Margin (Value),EBITDA Margin (Strength %),EV/EBITDA (Value),EV/EBITDA (Strength %),Forward P/E Ratio (Value),Forward P/E Ratio (Strength %),Insider Ownership (Value),Insider Ownership (Strength %),Institutional Ownership (Value),Institutional Ownership (Strength %),Trailing P/E Ratio (Value),Trailing P/E Ratio (Strength %),PEG Ratio (Value),PEG Ratio (Strength %),Price to Book (Value),Price to Book (Strength %),Profit Margin (Value),Profit Margin (Strength %),Analyst Recommendation (Value),Analyst Recommendation (Strength %),Return on Equity (Value),Return on Equity (Strength %),Revenue Growth (Value),Revenue Growth (Strength %),Short % of Float (Value),Short % of Float (Strength %)
CDNS,"Cadence Design Systems, Inc.",STOCK,61.16,1.47x,59,2.75x,86,44.29x,100,N/A,N/A,36.35%,89,46.90x,8,36.34x,43,0.34%,34,89.73%,98,79.66x,0,3.13x,0,14.14x,92,21.18%,85,Strong Buy (1.42),89,20.66%,96,18.70%,98,2.15%,95
CDW,CDW Corporation,STOCK,67.23,1.18x,25,3.76x,71,236.87x,1,1.85%,32,8.77%,1,11.74x,97,12.00x,99,0.40%,34,99.36%,99,16.84x,99,1.33x,58,6.75x,97,4.76%,19,Buy (1.91),76,43.02%,100,6.30%,59,5.33%,81
CEG,Constellation Energy Corporation,STOCK,50.91,1.53x,65,3.51x,75,63.94x,90,0.55%,9,22.06%,9,20.88x,3,22.55x,67,0.35%,34,78.87%,94,41.65x,18,3.74x,0,6.62x,0,9.08%,36,Buy (1.76),81,16.36%,82,12.90%,91,3.18%,92
CF,"CF Industries Holdings, Inc.",STOCK,72.85,3.37x,100,1.38x,95,46.77x,100,1.63%,12,45.74%,100,7.24x,89,12.69x,94,0.43%,35,108.30%,100,13.68x,82,4.11x,0,3.89x,21,20.54%,82,Hold (3.00),27,23.40%,99,22.80%,99,6.16%,74
CFG,"Citizens Financial Group, Inc.",STOCK,65.47,N/A,N/A,0.01x,99,N/A,N/A,2.86%,60,0.00%,0,N/A,N/A,10.08x,97,0.73%,36,99.87%,99,15.27x,28,1.65x,29,1.14x,93,25.05%,100,Strong Buy (1.44),89,7.74%,21,13.80%,93,0.01%,98
CHD,"Church & Dwight Co., Inc.",STOCK,45.29,1.07x,16,3.66x,73,59.52x,99,1.27%,19,22.29%,98,18.05x,5,23.99x,60,0.20%,33,93.50%,99,31.59x,0,3.05x,0,5.68x,2,11.88%,48,Buy (2.29),60,17.62%,88,3.90%,42,3.70%,90
CHRW,"C.H. Robinson Worldwide, Inc.",STOCK,38.57,1.53x,65,5.26x,39,75.60x,91,1.35%,21,5.39%,1,26.68x,3,24.38x,58,0.40%,34,103.29%,99,35.82x,36,2.75x,0,11.38x,0,3.62%,14,Buy (2.00),73,32.91%,100,-6.50%,3,7.52%,61
CHTR,"Charter Communications, Inc.",STOCK,57.97,0.40x,1,10.46x,1,459.52x,0,N/A,N/A,40.22%,100,5.56x,99,3.88x,99,36.28%,10,83.63%,96,4.65x,99,0.30x,80,1.29x,93,9.03%,36,Hold (2.90),31,27.50%,100,-1.00%,15,35.76%,0
CI,The Cigna Group,STOCK,74.85,0.85x,6,4.06x,65,75.14x,92,2.13%,39,4.38%,1,8.29x,99,8.45x,98,1.44%,40,92.22%,98,11.99x,98,0.84x,97,1.79x,86,2.17%,9,Strong Buy (1.42),89,15.13%,74,10.40%,83,2.72%,93
CIEN,Ciena Corporation,STOCK,44.12,2.81x,100,1.42x,95,56.93x,99,N/A,N/A,11.13%,2,133.18x,0,62.13x,0,0.59%,35,98.84%,99,338.79x,0,2.20x,4,27.12x,72,4.47%,18,Buy (2.00),73,8.20%,16,33.10%,100,5.23%,81
CINF,Cincinnati Financial Corporation,STOCK,73.86,1.04x,15,3.13x,81,5.63x,76,2.17%,40,28.22%,92,6.77x,99,17.70x,85,1.68%,41,71.59%,89,9.26x,97,2.19x,5,1.59x,82,21.33%,85,Buy (2.12),68,18.73%,99,11.60%,87,1.74%,96
CL,Colgate-Palmolive Company,STOCK,51.09,0.83x,6,3.13x,81,2343.56x,0,2.48%,49,23.88%,99,15.59x,24,21.42x,72,0.15%,33,86.19%,97,33.18x,0,1.53x,38,1302.39x,0,10.46%,42,Buy (2.00),73,497.47%,100,5.80%,56,2.70%,93
CLX,The Clorox Company,STOCK,57.73,0.84x,6,3.74x,71,4876.09x,0,5.14%,96,19.07%,92,10.86x,91,13.78x,93,0.62%,36,85.47%,97,14.16x,97,2.03x,9,-157.24x,100,11.18%,45,Hold (3.11),23,546.10%,100,0.10%,19,7.81%,58
CMCSA,Comcast Corporation,STOCK,68.11,0.86x,7,2.15x,91,106.86x,64,4.85%,94,28.23%,92,5.16x,99,7.13x,98,0.75%,36,89.66%,98,5.33x,99,142.98x,0,1.10x,94,15.00%,60,Hold (2.73),39,20.92%,96,5.30%,52,2.15%,95
CME,CME Group Inc.,STOCK,55.19,1.02x,13,2.24x,91,14.06x,84,1.81%,31,71.07%,100,22.15x,14,22.50x,68,0.48%,35,91.67%,98,24.68x,0,4.87x,0,3.94x,2,63.32%,100,Hold (2.69),41,15.92%,97,14.40%,94,1.47%,96
CMG,"Chipotle Mexican Grill, Inc.",STOCK,53.58,0.92x,9,2.57x,88,217.88x,2,N/A,N/A,19.10%,43,20.19x,26,24.27x,59,0.66%,36,92.00%,98,30.26x,59,1.86x,15,17.63x,0,11.96%,48,Buy (1.74),82,49.23%,100,7.40%,67,2.86%,93
CMI,Cummins Inc.,STOCK,54.11,1.76x,85,2.65x,87,60.52x,98,1.19%,18,15.41%,21,18.57x,40,20.83x,75,0.29%,34,87.85%,98,32.05x,52,1.84x,16,7.35x,0,8.44%,34,Buy (2.09),69,23.93%,99,1.10%,24,1.69%,96
CMS,CMS Energy Corporation,STOCK,62.08,0.84x,6,0.01x,99,189.84x,53,3.00%,64,34.55%,79,14.17x,62,18.22x,84,0.57%,35,97.62%,99,21.06x,87,2.96x,0,2.54x,66,12.55%,50,Buy (2.12),68,10.37%,30,11.60%,87,0.01%,98
CNC,Centene Corporation,STOCK,60.07,1.12x,20,2.20x,91,76.05x,91,N/A,N/A,1.63%,0,6.56x,100,12.02x,95,0.31%,34,98.43%,99,N/A,N/A,1.03x,86,1.23x,93,-3.61%,0,Buy (2.50),50,-26.04%,0,5.10%,51,3.21%,92
CNP,"CenterPoint Energy, Inc.",STOCK,46.98,1.17x,24,9.77x,1,215.59x,35,2.12%,39,38.93%,93,14.15x,62,20.82x,75,0.23%,34,101.69%,99,26.60x,73,2.53x,1,2.48x,68,11.38%,46,Buy (2.12),68,9.56%,24,1.90%,29,8.11%,54
COF,Capital One Financial Corporation,STOCK,61.94,N/A,N/A,1.60x,95,N/A,N/A,1.67%,27,0.00%,0,N/A,N/A,7.99x,98,1.87%,42,86.50%,97,59.05x,0,0.21x,72,1.11x,94,8.88%,36,Buy (1.61),85,3.26%,2,46.30%,100,1.35%,96
COHR,Coherent Corp.,STOCK,55.05,2.25x,98,1.12x,96,39.90x,99,N/A,N/A,19.20%,12,53.63x,3,43.39x,16,0.49%,35,89.17%,98,323.04x,0,0.92x,93,7.23x,96,4.66%,19,Buy (1.67),84,3.24%,3,17.50%,98,6.09%,75
COIN,"Coinbase Global, Inc.",STOCK,45.70,2.34x,99,2.30x,90,53.12x,100,N/A,N/A,24.28%,78,27.98x,2,38.42x,7,1.32%,39,69.09%,87,42.88x,0,0.72x,100,3.46x,5,18.31%,73,Buy (2.03),72,10.05%,51,-22.20%,0,12.82%,12
COO,"The Cooper Companies, Inc.",STOCK,59.29,1.34x,42,3.00x,83,33.20x,96,N/A,N/A,26.48%,97,13.48x,89,12.42x,95,0.62%,36,105.83%,100,31.02x,15,1.64x,29,1.45x,91,9.67%,39,Buy (2.12),68,4.87%,5,6.20%,59,3.23%,92
COP,ConocoPhillips,STOCK,51.19,1.29x,37,1.93x,93,36.14x,97,2.73%,57,39.32%,100,7.16x,76,14.48x,7,0.13%,33,85.53%,97,20.88x,3,1.24x,67,2.34x,73,12.33%,49,Buy (1.86),78,11.28%,38,-5.30%,5,1.63%,96
COR,"Cencora, Inc.",STOCK,57.91,0.92x,9,3.08x,82,472.58x,0,0.79%,12,1.52%,0,13.60x,88,15.52x,90,4.23%,56,96.78%,99,36.54x,3,0.73x,100,30.99x,0,0.50%,2,Buy (1.64),84,133.47%,100,5.50%,54,2.83%,93
COST,Costco Wholesale Corporation,STOCK,41.71,1.06x,16,3.71x,72,60.26x,99,0.58%,9,4.70%,1,33.20x,0,45.02x,2,0.17%,33,72.59%,90,52.47x,0,5.61x,0,27.14x,0,2.99%,12,Buy (1.97),74,29.65%,100,21.50%,99,1.48%,96
CPAY,"Corpay, Inc.",STOCK,84.97,0.98x,11,4.60x,53,243.35x,1,N/A,N/A,53.73%,100,11.97x,97,10.32x,99,3.80%,53,100.04%,99,20.45x,98,0.83x,98,5.41x,97,23.62%,94,Buy (1.71),82,29.07%,100,20.70%,99,4.22%,87
CPB,The Campbell's Company,STOCK,57.96,1.01x,13,3.81x,70,185.00x,8,7.53%,100,17.41%,84,7.46x,99,9.44x,97,33.63%,18,63.07%,78,11.27x,99,0.64x,100,1.54x,90,5.48%,22,Hold (3.16),22,13.89%,63,-4.50%,6,24.13%,0
CPRT,"Copart, Inc.",STOCK,65.65,10.06x,100,3.87x,69,0.98x,72,N/A,N/A,42.14%,100,13.92x,80,19.80x,79,8.66%,82,86.70%,97,20.92x,88,4.03x,0,3.27x,40,33.76%,100,N/A,N/A,17.13%,86,-3.60%,7,3.89%,89
CPT,Camden Property Trust,STOCK,36.45,0.31x,0,4.59x,54,103.55x,67,4.06%,86,56.99%,100,16.89x,56,75.05x,0,1.47%,40,109.60%,100,29.51x,1,9.17x,0,2.55x,17,24.52%,98,Buy (2.46),52,9.06%,21,-0.80%,15,6.62%,70
CRH,CRH,STOCK,61.76,1.74x,84,N/A,N/A,77.34x,90,1.32%,20,20.03%,50,12.38x,88,17.40x,86,N/A,N/A,N/A,N/A,21.42x,87,2.32x,3,3.22x,42,10.02%,40,N/A,N/A,15.68%,78,6.20%,59,N/A,N/A
CRL,"Charles River Laboratories International, Inc.",STOCK,52.66,1.29x,37,5.43x,35,81.95x,87,N/A,N/A,21.83%,85,12.12x,95,13.43x,93,0.85%,37,110.05%,100,N/A,N/A,0.12x,63,2.58x,65,-3.60%,0,Buy (1.76),81,-4.23%,0,-0.80%,15,10.87%,25
CRM,"Salesforce, Inc.",STOCK,75.07,0.76x,4,5.52x,33,29.95x,95,1.00%,15,30.22%,65,14.17x,96,12.31x,99,3.02%,49,95.67%,99,23.60x,96,0.96x,91,2.89x,98,17.96%,72,Buy (1.60),85,12.40%,49,12.10%,89,10.47%,29
CRWD,"CrowdStrike Holdings, Inc.",STOCK,53.83,1.77x,86,1.63x,94,18.34x,87,N/A,N/A,-0.97%,0,-2382.80x,100,73.83x,0,3.11%,49,75.29%,92,N/A,N/A,3.68x,0,26.07x,74,-3.38%,0,Buy (1.62),85,-4.14%,0,23.30%,100,2.62%,93
CSCO,"Cisco Systems, Inc.",STOCK,75.31,0.95x,10,2.59x,88,66.51x,96,1.83%,31,27.59%,51,23.25x,83,20.36x,95,0.06%,33,83.12%,96,33.04x,83,1.41x,50,7.60x,96,18.76%,75,Buy (1.85),78,23.75%,99,9.70%,80,1.47%,96
CSGP,"CoStar Group, Inc.",STOCK,51.90,2.20x,98,2.54x,88,14.53x,84,N/A,N/A,7.97%,3,52.05x,0,19.52x,80,1.19%,39,109.11%,100,496.00x,0,0.15x,40,1.74x,68,0.73%,3,Buy (1.84),78,0.30%,1,22.50%,99,4.70%,85
CSX,CSX Corporation,STOCK,57.20,0.97x,11,3.31x,79,143.06x,30,1.23%,18,46.82%,100,15.41x,69,20.95x,74,0.24%,34,80.30%,95,27.66x,69,2.11x,6,6.17x,1,21.55%,86,Buy (2.04),71,23.68%,99,1.70%,27,2.27%,94
CTAS,Cintas Corporation,STOCK,56.36,1.98x,95,4.07x,65,60.94x,98,1.03%,15,26.33%,87,24.32x,6,31.27x,25,14.97%,100,68.03%,85,35.86x,36,2.78x,0,14.17x,0,17.57%,70,N/A,N/A,41.30%,100,8.90%,76,3.54%,90
CTRA,Coterra Energy Inc.,STOCK,63.84,1.19x,26,1.61x,95,26.98x,93,2.49%,50,69.12%,100,6.37x,86,11.96x,33,0.93%,37,96.19%,99,15.79x,29,44.67x,0,1.81x,85,24.56%,98,Buy (1.81),80,12.28%,48,23.40%,100,2.40%,94
CTSH,Cognizant Technology Solutions Corporation,STOCK,71.55,2.23x,98,6.56x,16,7.25x,78,2.50%,50,18.18%,10,6.28x,99,8.52x,99,0.11%,33,105.82%,100,11.37x,99,0.87x,96,1.65x,98,10.41%,42,Buy (2.17),66,14.88%,72,5.80%,56,9.83%,35
CTVA,"Corteva, Inc.",STOCK,46.13,1.43x,54,3.83x,70,12.28x,82,0.89%,4,21.83%,46,13.97x,9,19.98x,78,0.13%,33,87.97%,98,46.20x,0,1.18x,73,2.25x,75,6.29%,25,Buy (1.77),81,4.97%,5,-1.70%,12,2.74%,93
CVNA,Carvana Co.,STOCK,47.55,4.31x,100,4.90x,47,133.12x,38,N/A,N/A,10.62%,6,27.86x,2,36.06x,11,2.13%,44,104.74%,100,44.23x,12,N/A,N/A,15.81x,0,6.92%,28,Buy (1.96),74,67.95%,100,58.00%,100,13.50%,9
CVS,CVS Health Corporation,STOCK,57.24,0.84x,6,2.39x,89,106.06x,65,3.24%,71,3.66%,0,11.89x,95,10.03x,97,0.07%,33,89.72%,98,59.06x,0,0.24x,75,1.39x,91,0.44%,2,Strong Buy (1.44),89,2.29%,2,8.40%,73,1.44%,96
CVX,Chevron Corporation,STOCK,42.82,1.16x,23,1.40x,95,24.32x,91,3.68%,80,20.38%,53,11.48x,8,16.18x,2,7.03%,73,68.34%,86,28.75x,0,1.11x,79,2.02x,81,6.66%,27,Buy (1.84),79,7.23%,11,-8.20%,2,1.01%,97
D,"Dominion Energy, Inc.",STOCK,62.37,0.77x,4,5.57x,32,150.09x,82,4.14%,87,49.14%,100,13.80x,67,16.79x,87,0.12%,33,84.04%,97,18.43x,91,2.84x,0,2.00x,81,18.16%,73,Hold (2.81),35,9.74%,25,20.40%,99,2.88%,93
DAL,"Delta Air Lines, Inc.",STOCK,75.42,0.42x,1,1.63x,94,105.02x,66,1.09%,16,11.93%,8,7.90x,98,8.63x,97,0.50%,35,85.76%,97,10.07x,98,0.21x,72,2.21x,76,6.87%,27,Strong Buy (1.31),91,24.99%,99,12.90%,91,3.93%,89
DASH,"DoorDash, Inc.",STOCK,48.92,1.41x,51,2.87x,85,32.75x,96,N/A,N/A,8.88%,4,60.92x,0,23.14x,65,0.68%,36,98.47%,99,82.55x,0,1.72x,24,7.61x,0,6.82%,27,Buy (1.61),85,10.44%,31,37.70%,100,2.97%,92
DD,"DuPont de Nemours, Inc.",STOCK,48.22,2.42x,99,2.77x,86,24.48x,91,1.75%,14,22.08%,48,14.44x,7,18.18x,84,0.18%,33,78.33%,94,220.19x,0,1.72x,24,1.36x,92,-11.37%,0,Strong Buy (1.50),88,0.52%,1,N/A,N/A,2.84%,93
DDOG,"Datadog, Inc.",STOCK,53.04,3.38x,100,2.78x,86,34.27x,97,N/A,N/A,0.22%,0,6156.42x,0,53.22x,3,0.72%,36,90.35%,98,453.32x,0,0.99x,89,13.27x,93,3.14%,13,Strong Buy (1.42),89,3.34%,3,29.20%,100,4.47%,86
DE,Deere & Company,STOCK,45.33,2.25x,99,3.45x,76,376.02x,0,1.12%,16,18.38%,38,22.77x,11,25.08x,55,0.17%,33,82.78%,96,32.58x,50,1.78x,20,5.93x,1,10.30%,41,Buy (2.12),68,19.57%,94,-11.10%,1,1.70%,96
DECK,Deckers Outdoor Corporation,STOCK,76.85,2.86x,100,1.83x,93,13.14x,83,N/A,N/A,25.30%,83,9.25x,96,13.73x,93,0.64%,36,99.86%,99,14.33x,96,1.39x,52,5.50x,2,19.35%,77,Buy (2.40),55,39.69%,100,7.10%,65,3.64%,90
DELL,Dell Technologies Inc.,STOCK,76.77,0.91x,8,2.62x,87,N/A,N/A,1.20%,18,10.09%,2,13.65x,96,14.26x,98,7.47%,75,82.98%,96,24.21x,96,0.87x,96,-55.48x,100,5.23%,21,Buy (1.89),77,N/A,N/A,39.50%,100,8.31%,52
DG,Dollar General Corporation,STOCK,59.12,1.14x,21,2.42x,89,184.66x,8,2.06%,37,7.74%,4,12.03x,81,14.31x,92,0.28%,34,99.37%,99,16.71x,87,1.67x,27,2.96x,51,3.54%,14,Buy (2.30),60,18.99%,93,5.90%,57,4.24%,87
DGX,Quest Diagnostics Incorporated,STOCK,67.34,1.18x,25,4.12x,64,82.74x,86,1.77%,30,19.74%,71,12.45x,94,16.53x,88,0.42%,35,99.43%,99,21.29x,75,1.50x,41,2.90x,54,9.08%,36,Buy (2.11),68,14.54%,69,9.20%,77,3.22%,92
DHI,"D.R. Horton, Inc.",STOCK,62.18,6.37x,100,5.55x,33,27.45x,93,1.17%,17,12.80%,11,11.21x,92,12.46x,95,11.57%,94,90.03%,98,14.08x,96,1.44x,47,1.81x,85,9.51%,38,Hold (2.60),45,13.08%,56,-2.30%,10,7.08%,66
DHR,Danaher Corporation,STOCK,64.27,1.87x,91,2.14x,91,37.17x,98,0.91%,13,32.02%,100,17.39x,44,19.26x,80,10.78%,91,84.51%,97,33.88x,7,1.14x,76,2.34x,73,14.89%,60,Strong Buy (1.29),91,7.08%,11,3.70%,41,1.29%,96
DIS,The Walt Disney Company,STOCK,63.45,0.67x,3,2.06x,92,40.91x,99,1.45%,23,20.17%,51,11.87x,90,14.05x,93,0.08%,33,77.16%,93,15.18x,95,2.95x,0,1.69x,87,12.80%,51,Buy (1.55),87,12.02%,45,5.20%,51,1.21%,96
DLR,"Digital Realty Trust, Inc.",STOCK,47.34,1.43x,53,0.01x,99,75.66x,91,2.43%,48,45.35%,100,31.29x,0,64.51x,0,0.02%,33,101.63%,99,53.24x,0,12.98x,0,3.09x,4,21.82%,87,Buy (1.77),81,5.69%,6,16.70%,97,0.00%,98
DLTR,"Dollar Tree, Inc.",STOCK,65.79,1.07x,16,3.90x,68,187.90x,7,N/A,N/A,11.91%,26,10.82x,91,12.80x,94,0.20%,33,109.81%,100,15.94x,92,0.96x,91,5.00x,5,6.61%,26,Hold (2.74),38,31.69%,100,9.00%,76,7.89%,57
DOC,"Healthpeak Properties, Inc.",STOCK,39.25,1.22x,29,3.68x,72,122.18x,48,7.55%,100,55.12%,100,14.07x,79,121.63x,0,0.29%,34,98.11%,99,164.20x,0,4.32x,2,1.52x,80,2.53%,10,Buy (2.15),67,1.16%,1,3.10%,36,5.97%,76
DOV,Dover Corporation,STOCK,65.76,1.86x,91,2.99x,83,43.93x,99,0.92%,13,22.53%,68,17.18x,53,19.48x,80,1.26%,39,91.92%,98,28.26x,67,1.89x,14,4.06x,17,13.30%,53,Buy (1.86),78,15.00%,73,10.10%,82,2.60%,94
DPZ,"Domino's Pizza, Inc.",STOCK,65.53,1.60x,73,3.36x,78,N/A,N/A,2.35%,46,20.52%,54,15.79x,66,16.07x,89,10.54%,91,94.33%,99,19.46x,90,1.55x,37,-2.90x,100,11.89%,48,Buy (2.00),73,N/A,N/A,3.50%,39,10.82%,26
DRI,"Darden Restaurants, Inc.",STOCK,57.72,0.39x,1,3.00x,83,387.68x,0,2.99%,64,15.74%,22,15.05x,72,17.13x,87,0.30%,34,100.30%,99,20.54x,88,1.75x,22,10.62x,0,8.66%,35,Buy (1.87),77,51.54%,100,5.90%,57,6.03%,75
DTE,DTE Energy Company,STOCK,56.63,0.80x,5,4.97x,45,213.60x,36,3.03%,65,22.87%,11,15.76x,39,17.82x,85,0.40%,34,79.33%,95,24.43x,80,2.11x,6,2.51x,67,9.25%,37,Buy (1.82),79,12.18%,47,28.90%,100,2.88%,93
DUK,Duke Energy Corporation,STOCK,61.78,0.55x,2,3.96x,67,171.84x,67,3.29%,72,51.21%,100,11.86x,86,17.95x,84,0.12%,33,70.42%,88,20.38x,88,2.74x,0,1.97x,82,15.63%,63,Buy (2.22),64,9.72%,25,8.00%,71,2.25%,94
DVA,DaVita Inc.,STOCK,67.30,1.29x,37,7.63x,7,1111.35x,0,N/A,N/A,20.17%,74,8.77x,99,9.25x,97,51.20%,0,53.33%,58,15.95x,93,0.58x,98,-15.97x,100,5.47%,22,N/A,N/A,64.85%,100,9.90%,81,17.10%,2
DVN,Devon Energy Corporation,STOCK,60.64,0.98x,11,1.76x,94,55.95x,100,1.90%,33,46.61%,100,5.17x,94,9.42x,76,0.83%,37,83.20%,96,12.12x,72,2.92x,0,2.03x,81,16.47%,66,Buy (1.52),87,17.74%,89,-12.10%,1,5.60%,79
DXCM,"DexCom, Inc.",STOCK,73.21,1.95x,94,3.77x,71,45.02x,100,N/A,N/A,26.82%,97,17.48x,43,20.11x,78,0.28%,34,100.30%,99,26.33x,40,1.30x,61,8.01x,0,19.31%,77,Strong Buy (1.41),90,35.62%,100,15.00%,95,4.53%,86
EA,Electronic Arts Inc.,STOCK,34.78,0.93x,9,5.15x,41,36.44x,97,0.38%,8,18.41%,39,37.11x,0,21.84x,71,0.21%,33,94.90%,99,75.69x,0,1.68x,26,8.22x,0,9.31%,37,Hold (2.79),36,10.03%,27,1.00%,24,4.81%,84
EBAY,eBay Inc.,STOCK,64.18,1.10x,18,2.71x,86,155.62x,21,1.19%,18,24.45%,79,18.70x,38,15.48x,90,0.30%,34,94.98%,99,24.03x,81,1.64x,29,10.13x,0,18.30%,73,Hold (2.65),43,40.85%,100,15.00%,95,3.40%,91
ECL,Ecolab Inc.,STOCK,48.80,0.99x,12,2.16x,91,90.70x,79,1.06%,5,24.47%,61,20.32x,0,27.08x,44,0.15%,33,93.76%,99,35.07x,0,2.37x,2,7.49x,0,12.80%,51,Buy (1.81),79,22.43%,98,10.00%,81,1.34%,96
ED,"Consolidated Edison, Inc.",STOCK,59.47,1.02x,13,4.38x,58,117.32x,98,3.12%,67,35.59%,84,11.07x,91,17.02x,87,0.18%,33,72.45%,90,19.63x,90,2.65x,1,1.65x,88,11.96%,48,Hold (3.22),20,8.77%,19,8.90%,76,2.94%,93
EFX,Equifax Inc.,STOCK,64.08,0.61x,2,3.20x,80,113.35x,57,1.18%,17,30.71%,96,13.46x,83,16.88x,87,0.64%,36,100.07%,99,30.61x,58,1.70x,25,4.57x,9,11.12%,44,Buy (1.75),81,14.37%,68,14.30%,94,5.32%,81
EG,"Everest Group, Ltd.",STOCK,63.63,1.12x,21,2.74x,86,24.48x,91,2.33%,45,0.00%,0,N/A,N/A,5.81x,99,0.69%,36,90.21%,98,7.20x,99,0.97x,90,0.93x,96,9.07%,36,Buy (2.44),53,10.85%,62,-2.90%,9,2.69%,93
EIX,Edison International,STOCK,68.13,0.74x,4,3.43x,77,226.10x,29,5.02%,95,43.72%,98,8.29x,98,10.73x,96,0.27%,34,94.06%,99,7.60x,99,3.28x,0,1.57x,89,18.12%,72,Hold (2.65),43,18.86%,92,7.70%,69,3.72%,90
EL,The Estée Lauder Companies Inc.,STOCK,44.14,1.36x,45,1.46x,95,232.94x,1,1.83%,31,15.03%,62,15.45x,26,26.32x,48,1.55%,40,96.04%,99,N/A,N/A,1.42x,49,7.11x,0,-1.21%,0,Buy (2.42),54,-4.34%,0,5.60%,54,3.75%,90
ELV,"Elevance Health, Inc.",STOCK,63.85,1.48x,60,2.83x,85,72.30x,93,1.85%,32,4.26%,1,8.88x,99,12.75x,94,0.19%,33,95.05%,99,15.80x,94,1.44x,47,1.85x,85,2.62%,10,Buy (1.86),78,12.09%,46,2.60%,33,2.28%,94
EME,"EMCOR Group, Inc.",STOCK,62.59,1.26x,33,2.61x,87,13.36x,83,0.14%,6,10.43%,6,21.48x,17,27.86x,40,0.73%,36,98.83%,99,30.39x,59,1.08x,82,10.95x,0,7.54%,30,Buy (1.67),84,39.23%,100,19.70%,99,2.07%,95
EMR,Emerson Electric Co.,STOCK,53.89,0.84x,6,4.16x,63,69.28x,95,1.58%,25,32.32%,97,15.24x,71,19.23x,81,0.22%,34,83.96%,97,33.61x,45,1.80x,19,3.81x,23,12.72%,51,Buy (1.97),74,9.65%,25,4.10%,43,2.23%,94
EOG,"EOG Resources, Inc.",STOCK,64.77,1.63x,76,3.31x,79,30.62x,95,2.94%,63,51.75%,100,6.85x,80,9.84x,70,0.28%,34,94.89%,99,15.24x,35,1.40x,51,2.50x,67,21.98%,88,Buy (2.22),63,16.83%,85,0.00%,19,3.32%,91
EPAM,"EPAM Systems, Inc.",STOCK,72.99,2.59x,100,5.48x,34,3.91x,74,N/A,N/A,12.96%,3,6.97x,99,8.07x,99,3.17%,50,113.82%,100,16.72x,99,0.68x,100,1.66x,98,6.92%,28,Buy (1.79),80,10.33%,30,12.80%,91,18.35%,1
EQIX,"Equinix, Inc.",STOCK,41.68,1.18x,25,3.28x,79,162.96x,17,1.82%,31,44.95%,100,30.13x,1,49.60x,1,0.27%,34,99.11%,99,75.19x,0,4.88x,0,7.53x,0,14.93%,60,Buy (1.58),86,10.06%,28,12.10%,89,2.10%,95
EQR,Equity Residential,STOCK,41.01,0.08x,0,4.21x,62,78.42x,89,4.31%,89,60.97%,100,17.59x,49,43.62x,2,0.59%,35,97.55%,99,26.07x,3,16.10x,0,2.23x,33,30.63%,100,Buy (2.40),55,8.67%,18,2.50%,32,3.09%,92
EQT,EQT Corporation,STOCK,67.44,0.66x,3,2.29x,90,20.82x,89,1.13%,17,81.86%,100,6.00x,89,12.56x,24,0.82%,37,94.38%,99,11.13x,80,2.73x,0,1.54x,90,35.07%,100,Buy (1.60),85,13.40%,59,49.90%,100,3.43%,91
ERIE,Erie Indemnity Company,STOCK,40.73,1.29x,37,9.53x,1,2.11x,73,2.72%,56,20.22%,52,13.31x,84,15.34x,90,45.46%,1,46.27%,41,19.67x,2,2.67x,0,4.78x,0,13.97%,56,N/A,N/A,25.85%,100,2.30%,31,9.51%,39
ES,Eversource Energy,STOCK,64.43,0.65x,2,3.04x,82,184.95x,57,4.46%,91,34.67%,80,12.13x,84,14.20x,92,0.18%,33,87.64%,98,15.59x,95,2.53x,1,1.65x,88,12.49%,50,Hold (2.56),47,10.78%,34,13.40%,92,2.89%,93
ESS,"Essex Property Trust, Inc.",STOCK,40.69,0.52x,1,3.64x,73,121.86x,49,3.91%,84,64.88%,100,18.77x,38,44.40x,2,0.73%,36,103.65%,99,29.59x,1,7.02x,0,3.06x,4,29.13%,100,Hold (2.77),37,10.56%,32,6.40%,60,4.32%,87
ETN,Eaton Corporation plc,STOCK,53.78,1.32x,40,3.43x,77,54.88x,100,1.03%,15,22.99%,71,27.73x,2,27.48x,42,0.07%,33,83.56%,96,40.64x,20,3.21x,0,8.50x,0,14.89%,60,Buy (1.73),82,21.53%,97,13.10%,92,2.05%,95
ETR,Entergy Corporation,STOCK,54.57,0.74x,4,4.71x,51,181.79x,59,2.23%,42,43.09%,98,14.64x,55,23.26x,64,0.25%,34,96.21%,99,29.70x,62,2.46x,1,3.11x,46,13.58%,54,Buy (1.80),80,10.77%,34,7.90%,70,3.42%,91
EVRG,"Evergy, Inc.",STOCK,57.27,0.49x,1,7.54x,7,149.92x,82,3.37%,74,45.98%,99,12.56x,81,18.20x,84,0.18%,33,93.35%,99,22.57x,84,2.30x,3,1.86x,84,14.35%,57,Buy (2.00),73,8.57%,18,6.60%,62,6.64%,70
